MIDAS ID, Legacy MIDAS ID, Site Name
1E0CEBF6F9F553A3E053692011AC8BDE,30036472,MIDAS site at M25/4052B priority 1 on link 200124591; GPS Ref: 556217;175412; Anti-clockwise

Local Date, Local Time, Day Type ID, Total Carriageway Flow, Total Flow vehicles less than 5.2m, Total Flow vehicles 5.21m - 6.6m, Total Flow vehicles 6.61m - 11.6m, Total Flow vehicles above 11.6m, Speed Value, Quality Index, Network Link Id, NTIS Model Version
2023-04-01,00:14:00,4,238,153,29,15,41,64.74,15,200124591,18
2023-04-01,00:29:00,4,203,121,36,20,26,63.89,15,200124591,18
2023-04-01,00:44:00,4,224,130,29,14,51,43.40,15,200124591,18
2023-04-01,00:59:00,4,231,118,42,19,52,54.63,15,200124591,18
2023-04-01,01:14:00,5,217,129,19,16,53,62.64,15,200124591,18
2023-04-01,01:29:00,5,211,122,22,14,53,42.07,15,200124591,18
2023-04-01,01:44:00,5,181,103,22,9,47,54.19,15,200124591,18
2023-04-01,01:59:00,5,177,101,20,11,45,64.33,15,200124591,18
2023-04-01,02:14:00,5,178,88,21,18,51,53.21,15,200124591,18
2023-04-01,02:29:00,5,178,90,22,13,53,52.20,15,200124591,18
2023-04-01,02:44:00,5,186,105,19,11,51,53.54,15,200124591,18
2023-04-01,02:59:00,5,161,87,16,13,45,53.35,15,200124591,18
2023-04-01,03:14:00,5,184,111,18,20,35,61.98,15,200124591,18
2023-04-01,03:29:00,5,166,88,17,11,50,66.57,15,200124591,18
2023-04-01,03:44:00,5,112,68,15,3,26,71.19,15,200124591,18
2023-04-01,03:59:00,5,92,53,11,8,20,72.41,15,200124591,18
2023-04-01,04:14:00,5,89,51,6,10,22,73.47,15,200124591,18
2023-04-01,04:29:00,5,102,56,15,9,22,71.83,15,200124591,18
2023-04-01,04:44:00,5,131,76,18,13,24,70.98,15,200124591,18
2023-04-01,04:59:00,5,146,79,16,14,37,69.31,15,200124591,18
2023-04-01,05:14:00,5,154,88,19,19,28,71.66,15,200124591,18
2023-04-01,05:29:00,5,173,103,21,17,32,70.86,15,200124591,18
2023-04-01,05:44:00,5,213,127,31,24,31,71.75,15,200124591,18
2023-04-01,05:59:00,5,278,169,47,22,40,69.62,15,200124591,18
2023-04-01,06:14:00,5,192,105,29,24,34,72.96,15,200124591,18
2023-04-01,06:29:00,5,276,160,53,30,33,68.99,15,200124591,18
2023-04-01,06:44:00,5,285,161,59,20,45,68.34,15,200124591,18
2023-04-01,06:59:00,5,264,150,59,28,27,69.59,15,200124591,18
2023-04-01,07:14:00,5,401,221,94,42,44,68.01,15,200124591,18
2023-04-01,07:29:00,5,340,219,55,29,37,70.37,15,200124591,18
2023-04-01,07:44:00,5,412,260,78,29,45,69.11,15,200124591,18
2023-04-01,07:59:00,5,384,244,83,28,29,68.33,15,200124591,18
2023-04-01,08:14:00,5,468,308,84,27,49,64.83,15,200124591,18
2023-04-01,08:29:00,5,486,348,78,27,33,66.63,15,200124591,18
2023-04-01,08:44:00,5,510,364,77,14,55,55.06,15,200124591,18
2023-04-01,08:59:00,5,572,405,87,24,56,62.97,15,200124591,18
2023-04-01,09:14:00,5,567,419,92,21,35,64.27,15,200124591,18
2023-04-01,09:29:00,5,627,484,77,26,40,61.03,15,200124591,18
2023-04-01,09:44:00,5,679,516,99,24,40,58.79,15,200124591,18
2023-04-01,09:59:00,5,738,583,91,24,40,60.23,15,200124591,18
2023-04-01,10:14:00,5,719,555,91,23,50,54.99,15,200124591,18
2023-04-01,10:29:00,5,729,563,100,20,46,58.83,15,200124591,18
2023-04-01,10:44:00,5,725,552,110,25,38,54.84,15,200124591,18
2023-04-01,10:59:00,5,664,514,103,17,30,40.34,15,200124591,18
2023-04-01,11:14:00,5,657,529,77,23,28,34.04,15,200124591,18
2023-04-01,11:29:00,5,638,511,86,13,28,34.88,15,200124591,18
2023-04-01,11:44:00,5,622,480,79,24,39,30.15,15,200124591,18
2023-04-01,11:59:00,5,679,535,80,32,32,34.72,15,200124591,18
2023-04-01,12:14:00,5,651,478,106,36,31,34.23,15,200124591,18
