MIDAS ID, Legacy MIDAS ID, Site Name
C01FF1001470430FA58D57F83D25DE7C,30032854,MIDAS site at M25/5733B priority 1 on link 199065601; GPS Ref: 557168;191583; Anti-clockwise

Local Date, Local Time, Day Type ID, Total Carriageway Flow, Total Flow vehicles less than 5.2m, Total Flow vehicles 5.21m - 6.6m, Total Flow vehicles 6.61m - 11.6m, Total Flow vehicles above 11.6m, Speed Value, Quality Index, Network Link Id, NTIS Model Version
2023-04-01,00:14:00,4,147,93,5,7,42,102.93,15,199065601,18
2023-04-01,00:29:00,4,136,76,4,4,52,102.16,15,199065601,18
2023-04-01,00:44:00,4,96,62,5,4,25,104.01,14,199065601,18
2023-04-01,00:59:00,4,122,64,9,6,43,103.87,14,199065601,18
2023-04-01,01:14:00,5,131,68,7,5,51,99.41,15,199065601,18
2023-04-01,01:29:00,5,119,60,3,7,49,101.10,15,199065601,18
2023-04-01,01:44:00,5,101,54,6,2,39,102.17,15,199065601,18
2023-04-01,01:59:00,5,101,54,1,1,45,102.04,14,199065601,18
2023-04-01,02:14:00,5,117,54,7,2,54,99.36,15,199065601,18
2023-04-01,02:29:00,5,117,55,7,9,46,98.76,15,199065601,18
2023-04-01,02:44:00,5,132,75,5,6,46,102.37,15,199065601,18
2023-04-01,02:58:00,5,123,61,3,3,56,100.26,14,199065601,18
2023-04-01,03:14:00,5,108,60,5,5,38,99.62,15,199065601,18
2023-04-01,03:29:00,5,133,78,5,3,47,102.54,15,199065601,18
2023-04-01,03:44:00,5,145,84,4,5,52,103.31,15,199065601,18
2023-04-01,03:59:00,5,158,97,7,2,52,103.81,15,199065601,18
2023-04-01,04:14:00,5,165,102,3,6,54,102.50,15,199065601,18
2023-04-01,04:29:00,5,175,107,5,2,61,104.10,13,199065601,18
2023-04-01,04:44:00,5,181,113,6,4,58,103.43,15,199065601,18
2023-04-01,04:59:00,5,224,138,11,3,72,104.12,15,199065601,18
2023-04-01,05:14:00,5,222,137,9,7,69,104.79,15,199065601,18
2023-04-01,05:29:00,5,263,174,14,9,66,105.53,15,199065601,18
2023-04-01,05:44:00,5,296,208,15,12,61,105.29,15,199065601,18
2023-04-01,05:59:00,5,380,255,23,12,90,104.43,15,199065601,18
