MIDAS ID, Legacy MIDAS ID, Site Name
FC82E8BAC1E57272E0438DC611AC3F8D,30035132,MIDAS site at M25/5351L priority 1 on link 199005501; GPS Ref: 523544;199807; Anti-clockwise

Local Date, Local Time, Day Type ID, Total Carriageway Flow, Total Flow vehicles less than 5.2m, Total Flow vehicles 5.21m - 6.6m, Total Flow vehicles 6.61m - 11.6m, Total Flow vehicles above 11.6m, Speed Value, Quality Index, Network Link Id, NTIS Model Version
2023-04-01,00:14:00,4,0,0,0,0,0,0.00,15,199005501,18
2023-04-01,00:29:00,4,0,0,0,0,0,0.00,15,199005501,18
2023-04-01,00:44:00,4,1,0,0,1,0,44.00,15,199005501,18
2023-04-01,00:59:00,4,2,1,0,1,0,26.54,15,199005501,18
2023-04-01,01:14:00,5,0,0,0,0,0,0.00,15,199005501,18
2023-04-01,01:29:00,5,1,0,0,0,1,58.00,15,199005501,18
2023-04-01,01:44:00,5,1,0,0,0,1,47.00,15,199005501,18
2023-04-01,01:59:00,5,1,0,0,1,0,42.00,15,199005501,18
2023-04-01,02:14:00,5,2,0,0,2,0,29.00,15,199005501,18
2023-04-01,02:29:00,5,2,0,1,1,0,62.83,15,199005501,18
2023-04-01,02:44:00,5,0,0,0,0,0,0.00,15,199005501,18
2023-04-01,02:59:00,5,1,0,0,1,0,34.00,15,199005501,18
2023-04-01,03:14:00,5,0,0,0,0,0,0.00,15,199005501,18
2023-04-01,03:29:00,5,1,0,0,1,0,58.00,14,199005501,18
2023-04-01,03:44:00,5,6,2,0,4,0,71.62,15,199005501,18
2023-04-01,03:59:00,5,18,6,3,2,7,48.91,15,199005501,18
2023-04-01,04:14:00,5,13,3,6,2,2,95.76,15,199005501,18
2023-04-01,04:29:00,5,17,4,4,2,7,93.76,15,199005501,18
2023-04-01,04:44:00,5,20,9,5,2,4,93.46,15,199005501,18
2023-04-01,04:59:00,5,28,12,7,2,7,99.03,15,199005501,18
2023-04-01,05:14:00,5,28,11,9,4,4,101.47,15,199005501,18
2023-04-01,05:29:00,5,33,14,8,8,3,101.48,15,199005501,18
2023-04-01,05:44:00,5,46,18,17,6,5,103.33,15,199005501,18
2023-04-01,05:59:00,5,46,18,14,8,6,102.15,15,199005501,18
2023-04-01,06:14:00,5,64,29,16,11,8,100.09,15,199005501,18
2023-04-01,06:29:00,5,107,46,44,10,7,103.29,15,199005501,18
2023-04-01,06:44:00,5,107,45,36,19,7,104.00,15,199005501,18
2023-04-01,06:59:00,5,121,52,42,20,7,102.20,15,199005501,18
2023-04-01,07:14:00,5,119,49,46,13,11,104.75,15,199005501,18
2023-04-01,07:29:00,5,148,54,61,25,8,100.87,15,199005501,18
2023-04-01,07:44:00,5,163,67,69,20,7,99.99,15,199005501,18
2023-04-01,07:59:00,5,174,79,70,19,6,86.49,15,199005501,18
2023-04-01,08:14:00,5,162,75,62,18,7,98.17,15,199005501,18
2023-04-01,08:29:00,5,145,72,50,15,8,101.44,15,199005501,18
2023-04-01,08:44:00,5,155,71,56,18,10,102.95,15,199005501,18
2023-04-01,08:59:00,5,173,99,50,16,8,100.19,15,199005501,18
2023-04-01,09:14:00,5,195,85,81,17,12,99.41,15,199005501,18
2023-04-01,09:29:00,5,199,96,80,14,9,99.39,15,199005501,18
2023-04-01,09:44:00,5,191,104,55,21,11,98.11,15,199005501,18
2023-04-01,09:59:00,5,195,110,64,13,8,101.12,15,199005501,18
2023-04-01,10:14:00,5,233,127,81,21,4,95.78,15,199005501,18
2023-04-01,10:29:00,5,259,136,101,15,7,94.88,15,199005501,18
2023-04-01,10:44:00,5,208,91,83,24,10,95.27,15,199005501,18
2023-04-01,10:59:00,5,225,119,88,11,7,98.39,15,199005501,18
2023-04-01,11:14:00,5,245,103,116,15,11,95.46,15,199005501,18
2023-04-01,11:29:00,5,274,134,103,21,16,92.52,15,199005501,18
2023-04-01,11:44:00,5,272,137,108,18,9,94.10,15,199005501,18
2023-04-01,11:59:00,5,255,128,103,18,6,97.26,15,199005501,18
2023-04-01,12:14:00,5,280,152,108,14,6,97.16,15,199005501,18
2023-04-01,12:29:00,5,268,142,93,26,7,96.36,15,199005501,18
2023-04-01,12:44:00,5,277,143,99,23,12,97.44,15,199005501,18
2023-04-01,12:59:00,5,288,160,102,18,8,97.02,15,199005501,18
2023-04-01,13:14:00,5,276,147,99,20,10,98.11,15,199005501,18
2023-04-01,13:29:00,5,302,145,128,20,9,95.74,15,199005501,18
