MIDAS ID, Legacy MIDAS ID, Site Name
EC06DB6873894584BD7DA670072D6C93,30029817,MIDAS site at M25/4068A priority 1 on link 199122701; GPS Ref: 555599;173967; Clockwise

Local Date, Local Time, Day Type ID, Total Carriageway Flow, Total Flow vehicles less than 5.2m, Total Flow vehicles 5.21m - 6.6m, Total Flow vehicles 6.61m - 11.6m, Total Flow vehicles above 11.6m, Speed Value, Quality Index, Network Link Id, NTIS Model Version
2023-04-01,00:14:00,4,481,363,26,29,63,87.12,15,199122701,18
2023-04-01,00:29:00,4,438,315,36,24,63,88.83,15,199122701,18
2023-04-01,00:44:00,4,405,289,23,21,72,86.90,15,199122701,18
2023-04-01,00:59:00,4,399,287,22,17,73,87.45,15,199122701,18
2023-04-01,01:14:00,5,320,226,18,13,63,87.24,15,199122701,18
2023-04-01,01:29:00,5,325,215,24,14,72,88.11,15,199122701,18
2023-04-01,01:44:00,5,320,214,19,11,76,87.30,15,199122701,18
2023-04-01,01:59:00,5,299,189,20,16,74,88.85,15,199122701,18
2023-04-01,02:14:00,5,278,147,29,14,88,90.96,15,199122701,18
2023-04-01,02:29:00,5,290,166,31,16,77,88.45,15,199122701,18
2023-04-01,02:44:00,5,278,178,17,19,64,90.58,15,199122701,18
2023-04-01,02:59:00,5,300,172,32,23,73,88.57,15,199122701,18
2023-04-01,03:14:00,5,272,169,20,13,70,89.60,15,199122701,18
2023-04-01,03:29:00,5,320,180,34,15,91,89.95,15,199122701,18
2023-04-01,03:44:00,5,269,156,16,19,78,90.16,15,199122701,18
2023-04-01,03:59:00,5,276,169,18,19,70,91.68,15,199122701,18
2023-04-01,04:14:00,5,279,164,16,17,82,90.29,15,199122701,18
2023-04-01,04:29:00,5,275,163,17,22,73,90.41,15,199122701,18
2023-04-01,04:44:00,5,320,188,24,22,86,90.19,15,199122701,18
2023-04-01,04:59:00,5,318,185,17,15,101,89.63,15,199122701,18
2023-04-01,05:14:00,5,316,190,25,24,77,89.84,15,199122701,18
2023-04-01,05:29:00,5,424,238,46,35,105,87.36,15,199122701,18
2023-04-01,05:44:00,5,466,273,39,38,116,91.12,15,199122701,18
2023-04-01,05:59:00,5,580,331,77,41,131,89.02,15,199122701,18
2023-04-01,06:14:00,5,630,389,70,50,121,89.26,15,199122701,18
2023-04-01,06:29:00,5,642,401,103,52,86,89.54,15,199122701,18
2023-04-01,06:44:00,5,775,484,114,62,115,88.85,15,199122701,18
2023-04-01,06:59:00,5,759,477,119,53,110,90.61,15,199122701,18
2023-04-01,07:14:00,5,865,553,139,59,114,89.79,15,199122701,18
2023-04-01,07:29:00,5,858,529,148,70,111,89.76,15,199122701,18
2023-04-01,07:44:00,5,873,573,136,73,91,88.69,15,199122701,18
2023-04-01,07:59:00,5,941,609,139,70,123,87.00,15,199122701,18
2023-04-01,08:14:00,5,910,655,115,58,82,89.29,15,199122701,18
2023-04-01,08:29:00,5,965,722,100,53,90,89.16,15,199122701,18
2023-04-01,08:44:00,5,1138,854,117,57,110,85.97,15,199122701,18
2023-04-01,08:59:00,5,805,613,80,38,74,81.99,15,199122701,18
2023-04-01,09:14:00,5,1265,943,131,64,127,76.94,15,199122701,18
2023-04-01,09:29:00,5,1223,935,133,61,94,86.68,15,199122701,18
2023-04-01,09:44:00,5,1171,943,94,46,88,86.32,15,199122701,18
2023-04-01,09:59:00,5,1310,1079,111,41,79,82.58,15,199122701,18
2023-04-01,10:14:00,5,1255,1032,94,50,79,86.28,15,199122701,18
2023-04-01,10:29:00,5,1278,1055,103,45,75,88.29,15,199122701,18
2023-04-01,10:44:00,5,1394,1162,120,44,68,88.04,15,199122701,18
2023-04-01,10:59:00,5,1420,1187,114,49,70,86.77,15,199122701,18
2023-04-01,11:14:00,5,1511,1231,158,62,60,85.93,15,199122701,18
2023-04-01,11:29:00,5,1552,1286,148,44,74,83.72,15,199122701,18
2023-04-01,11:44:00,5,1548,1280,132,63,73,83.14,15,199122701,18
2023-04-01,11:59:00,5,1543,1296,126,44,77,84.49,15,199122701,18
2023-04-01,12:14:00,5,1519,1235,143,59,82,82.54,15,199122701,18
2023-04-01,12:29:00,5,1569,1300,135,58,76,80.42,15,199122701,18
2023-04-01,12:44:00,5,1078,905,92,42,39,83.74,15,199122701,18
2023-04-01,12:59:00,5,1539,1305,128,59,47,83.12,15,199122701,18
2023-04-01,13:14:00,5,1518,1287,127,41,63,82.05,15,199122701,18
2023-04-01,13:29:00,5,1561,1323,116,63,59,82.23,15,199122701,18
2023-04-01,13:44:00,5,1536,1328,109,40,59,81.95,15,199122701,18
2023-04-01,13:59:00,5,1522,1281,148,37,56,83.05,15,199122701,18
2023-04-01,14:14:00,5,1589,1348,120,57,64,79.71,15,199122701,18
2023-04-01,14:29:00,5,1545,1316,119,31,79,79.48,15,199122701,18
2023-04-01,14:44:00,5,1404,1191,107,45,61,71.81,15,199122701,18
2023-04-01,14:59:00,5,1525,1297,126,45,57,67.32,15,199122701,18
2023-04-01,15:14:00,5,1384,1190,107,36,51,83.81,15,199122701,18
2023-04-01,15:29:00,5,1568,1324,154,42,48,83.04,15,199122701,18
2023-04-01,15:44:00,5,1525,1333,108,35,49,82.87,15,199122701,18
2023-04-01,15:59:00,5,1525,1301,121,47,56,83.81,15,199122701,18
2023-04-01,16:14:00,5,1534,1282,151,42,59,83.98,15,199122701,18
2023-04-01,16:29:00,5,1468,1258,125,37,48,85.20,15,199122701,18
2023-04-01,16:44:00,5,1480,1267,124,36,53,84.22,15,199122701,18
2023-04-01,16:59:00,5,906,792,63,18,33,83.35,15,199122701,18
2023-04-01,17:14:00,5,658,562,43,22,31,72.60,15,199122701,18
2023-04-01,17:29:00,5,1461,1267,107,45,42,83.12,15,199122701,18
2023-04-01,17:44:00,5,1464,1260,121,33,50,85.82,15,199122701,18
2023-04-01,17:59:00,5,1537,1353,114,29,41,83.21,15,199122701,18
2023-04-01,18:14:00,5,1449,1273,89,35,52,83.61,15,199122701,18
2023-04-01,18:29:00,5,1487,1332,88,32,35,82.51,15,199122701,18
2023-04-01,18:44:00,5,1461,1277,113,28,43,82.64,15,199122701,18
2023-04-01,18:59:00,5,1465,1278,108,33,46,82.79,15,199122701,18
2023-04-01,19:14:00,5,1186,1049,80,16,41,87.32,15,199122701,18
2023-04-01,19:29:00,5,1079,969,49,26,35,84.39,15,199122701,18
2023-04-01,19:44:00,5,1011,891,58,19,43,87.41,15,199122701,18
2023-04-01,19:59:00,5,945,838,53,22,32,83.10,15,199122701,18
2023-04-01,20:14:00,5,879,773,50,22,34,82.28,15,199122701,18
2023-04-01,20:29:00,5,768,670,44,18,36,86.92,15,199122701,18
2023-04-01,20:44:00,5,793,682,62,15,34,87.85,15,199122701,18
2023-04-01,20:59:00,5,742,638,51,25,28,89.04,15,199122701,18
2023-04-01,21:14:00,5,763,684,37,11,31,88.69,15,199122701,18
2023-04-01,21:29:00,5,672,578,47,13,34,88.84,15,199122701,18
2023-04-01,21:44:00,5,622,544,29,17,32,88.40,15,199122701,18
2023-04-01,21:59:00,5,648,569,30,20,29,88.31,15,199122701,18
2023-04-01,22:14:00,5,757,662,45,24,26,87.01,15,199122701,18
2023-04-01,22:29:00,5,745,673,38,8,26,88.18,15,199122701,18
2023-04-01,22:44:00,5,676,594,35,21,26,87.79,15,199122701,18
2023-04-01,22:59:00,5,645,564,32,19,30,88.79,15,199122701,18
2023-04-01,23:14:00,5,568,492,24,12,40,88.40,15,199122701,18
2023-04-01,23:29:00,5,554,483,21,10,40,87.61,15,199122701,18
2023-04-01,23:44:00,5,532,456,25,19,32,89.27,15,199122701,18
2023-04-01,23:59:00,5,514,452,26,4,32,88.72,15,199122701,18
2023-04-02,00:14:00,5,499,437,19,16,27,87.97,15,199122701,18
2023-04-02,00:29:00,5,432,366,22,12,32,89.49,15,199122701,18
2023-04-02,00:44:00,5,469,399,24,18,28,89.05,15,199122701,18
2023-04-02,00:59:00,5,368,300,26,7,35,89.44,15,199122701,18
2023-04-02,01:14:00,6,333,268,13,11,41,89.32,15,199122701,18
2023-04-02,01:29:00,6,287,232,17,10,28,91.21,15,199122701,18
2023-04-02,01:44:00,6,272,228,14,6,24,89.53,15,199122701,18
2023-04-02,01:59:00,6,231,176,10,6,39,88.03,15,199122701,18
2023-04-02,02:14:00,6,239,181,12,8,38,90.95,15,199122701,18
2023-04-02,02:29:00,6,210,158,12,13,27,88.63,15,199122701,18
2023-04-02,02:44:00,6,184,139,13,4,28,90.16,15,199122701,18
2023-04-02,02:59:00,6,183,128,12,6,37,89.20,15,199122701,18
2023-04-02,03:14:00,6,206,156,14,6,30,89.95,15,199122701,18
2023-04-02,03:29:00,6,196,140,17,5,34,91.38,15,199122701,18
2023-04-02,03:44:00,6,197,138,24,8,27,89.74,15,199122701,18
2023-04-02,03:59:00,6,175,125,18,5,27,90.78,15,199122701,18
2023-04-02,04:14:00,6,168,123,6,10,29,90.29,15,199122701,18
2023-04-02,04:29:00,6,183,125,14,7,37,90.47,15,199122701,18
2023-04-02,04:44:00,6,186,130,15,8,33,91.89,15,199122701,18
2023-04-02,04:59:00,6,250,187,11,8,44,91.60,15,199122701,18
2023-04-02,05:14:00,6,247,168,25,8,46,91.13,15,199122701,18
2023-04-02,05:29:00,6,281,189,22,16,54,91.03,15,199122701,18
2023-04-02,05:44:00,6,282,207,18,12,45,91.18,15,199122701,18
2023-04-02,05:59:00,6,354,244,45,21,44,91.00,15,199122701,18
2023-04-02,06:14:00,6,378,285,42,15,36,92.53,15,199122701,18
2023-04-02,06:29:00,6,351,271,33,18,29,91.81,15,199122701,18
2023-04-02,06:44:00,6,474,331,49,36,58,90.53,15,199122701,18
2023-04-02,06:59:00,6,495,382,56,19,38,92.84,15,199122701,18
2023-04-02,07:14:00,6,483,338,75,29,41,92.96,15,199122701,18
2023-04-02,07:29:00,6,504,401,53,16,34,92.75,15,199122701,18
2023-04-02,07:44:00,6,534,410,60,30,34,92.59,15,199122701,18
2023-04-02,07:59:00,6,581,454,59,23,45,93.44,15,199122701,18
2023-04-02,08:14:00,6,567,474,44,21,28,93.50,15,199122701,18
2023-04-02,08:29:00,6,660,517,66,29,48,92.14,15,199122701,18
2023-04-02,08:44:00,6,699,592,40,25,42,91.59,15,199122701,18
2023-04-02,08:59:00,6,734,594,70,24,46,92.56,15,199122701,18
2023-04-02,09:14:00,6,812,674,82,20,36,91.75,15,199122701,18
2023-04-02,09:29:00,6,921,792,63,21,45,90.54,15,199122701,18
2023-04-02,09:44:00,6,961,827,72,22,40,90.40,15,199122701,18
2023-04-02,09:59:00,6,960,818,71,21,50,90.02,15,199122701,18
2023-04-02,10:14:00,6,1052,896,67,34,55,88.23,15,199122701,18
2023-04-02,10:29:00,6,1004,872,66,27,39,88.23,15,199122701,18
2023-04-02,10:44:00,6,1245,1073,90,30,52,87.66,15,199122701,18
2023-04-02,10:59:00,6,1273,1100,101,23,49,86.50,15,199122701,18
2023-04-02,11:14:00,6,1310,1117,111,42,40,86.84,15,199122701,18
2023-04-02,11:29:00,6,1354,1161,118,35,40,85.77,15,199122701,18
2023-04-02,11:44:00,6,1340,1191,74,34,41,86.09,15,199122701,18
2023-04-02,11:59:00,6,1392,1207,112,31,42,86.56,15,199122701,18
2023-04-02,12:14:00,6,1396,1233,86,33,44,85.51,15,199122701,18
2023-04-02,12:29:00,6,1393,1227,92,24,50,85.47,15,199122701,18
2023-04-02,12:44:00,6,1328,1180,82,29,37,84.53,15,199122701,18
2023-04-02,12:59:00,6,1384,1213,89,31,51,85.54,15,199122701,18
2023-04-02,13:14:00,6,989,884,50,17,38,89.52,15,199122701,18
2023-04-02,13:29:00,6,1242,1097,85,24,36,86.41,15,199122701,18
2023-04-02,13:44:00,6,1499,1311,96,34,58,81.81,15,199122701,18
2023-04-02,13:59:00,6,1503,1346,85,28,44,82.32,15,199122701,18
