MIDAS ID, Legacy MIDAS ID, Site Name
DD5190FA12BB2FA9E0433CC411AC9094,30034550,MIDAS site at M25/4690B priority 1 on link 200047935; GPS Ref: 511079;157586; Anti-clockwise

Local Date, Local Time, Day Type ID, Total Carriageway Flow, Total Flow vehicles less than 5.2m, Total Flow vehicles 5.21m - 6.6m, Total Flow vehicles 6.61m - 11.6m, Total Flow vehicles above 11.6m, Speed Value, Quality Index, Network Link Id, NTIS Model Version
2023-04-01,00:14:00,4,0,0,0,0,0,0.00,15,200047935,18
2023-04-01,00:29:00,4,0,0,0,0,0,0.00,15,200047935,18
2023-04-01,00:44:00,4,0,0,0,0,0,0.00,15,200047935,18
2023-04-01,00:59:00,4,0,0,0,0,0,0.00,15,200047935,18
2023-04-01,01:14:00,5,2,0,0,2,0,39.07,15,200047935,18
2023-04-01,01:29:00,5,0,0,0,0,0,0.00,15,200047935,18
2023-04-01,01:44:00,5,0,0,0,0,0,0.00,15,200047935,18
2023-04-01,01:59:00,5,0,0,0,0,0,0.00,15,200047935,18
2023-04-01,02:14:00,5,0,0,0,0,0,0.00,15,200047935,18
2023-04-01,02:29:00,5,0,0,0,0,0,0.00,15,200047935,18
2023-04-01,02:44:00,5,0,0,0,0,0,0.00,15,200047935,18
2023-04-01,02:59:00,5,0,0,0,0,0,0.00,15,200047935,18
2023-04-01,03:14:00,5,1,1,0,0,0,116.00,15,200047935,18
2023-04-01,03:29:00,5,1,0,0,1,0,77.00,15,200047935,18
2023-04-01,03:44:00,5,1,1,0,0,0,64.00,15,200047935,18
2023-04-01,03:59:00,5,1,0,1,0,0,64.00,15,200047935,18
2023-04-01,04:14:00,5,0,0,0,0,0,0.00,15,200047935,18
2023-04-01,04:29:00,5,2,2,0,0,0,55.00,15,200047935,18
2023-04-01,04:44:00,5,1,1,0,0,0,67.00,15,200047935,18
2023-04-01,04:59:00,5,0,0,0,0,0,0.00,15,200047935,18
2023-04-01,05:14:00,5,0,0,0,0,0,0.00,15,200047935,18
2023-04-01,05:29:00,5,0,0,0,0,0,0.00,15,200047935,18
2023-04-01,05:44:00,5,254,152,10,10,82,90.97,15,200047935,18
2023-04-01,05:59:00,5,240,169,11,12,48,98.07,15,200047935,18
2023-04-01,06:14:00,5,307,238,17,9,43,98.88,15,200047935,18
2023-04-01,06:29:00,5,379,296,29,10,44,100.31,15,200047935,18
2023-04-01,06:44:00,5,478,380,36,17,45,101.24,15,200047935,18
