MIDAS ID, Legacy MIDAS ID, Site Name
2BAB8A7FC6B34F9EBA090E2833F557FC,30034186,MIDAS site at M25/5777A priority 1 on link 199065401; GPS Ref: 558795;187553; Clockwise

Local Date, Local Time, Day Type ID, Total Carriageway Flow, Total Flow vehicles less than 5.2m, Total Flow vehicles 5.21m - 6.6m, Total Flow vehicles 6.61m - 11.6m, Total Flow vehicles above 11.6m, Speed Value, Quality Index, Network Link Id, NTIS Model Version
2023-04-01,00:14:00,4,328,201,37,25,65,103.88,15,199065401,18
2023-04-01,00:29:00,4,328,191,22,24,91,101.99,15,199065401,18
2023-04-01,00:44:00,4,281,146,23,19,93,100.38,15,199065401,18
2023-04-01,00:59:00,4,227,141,12,12,62,102.52,15,199065401,18
2023-04-01,01:14:00,5,234,122,20,18,74,100.43,15,199065401,18
2023-04-01,01:29:00,5,216,114,17,24,61,101.25,15,199065401,18
2023-04-01,01:44:00,5,201,114,15,8,64,102.97,15,199065401,18
2023-04-01,01:59:00,5,195,98,21,11,65,102.78,15,199065401,18
2023-04-01,02:14:00,5,190,109,18,16,47,104.29,15,199065401,18
2023-04-01,02:29:00,5,187,83,19,14,71,100.93,15,199065401,18
2023-04-01,02:44:00,5,223,133,16,16,58,104.90,15,199065401,18
2023-04-01,02:59:00,5,171,69,20,14,68,101.07,15,199065401,18
2023-04-01,03:14:00,5,203,89,26,17,71,102.06,15,199065401,18
2023-04-01,03:29:00,5,216,101,18,20,77,102.81,15,199065401,18
2023-04-01,03:44:00,5,210,107,12,21,70,104.04,15,199065401,18
2023-04-01,03:59:00,5,203,104,13,16,70,102.96,15,199065401,18
2023-04-01,04:14:00,5,199,83,22,13,81,102.65,15,199065401,18
2023-04-01,04:29:00,5,253,126,19,21,87,103.20,15,199065401,18
2023-04-01,04:44:00,5,243,110,20,23,90,103.09,15,199065401,18
2023-04-01,04:59:00,5,257,118,16,26,97,101.44,15,199065401,18
2023-04-01,05:14:00,5,257,130,29,20,78,102.48,15,199065401,18
2023-04-01,05:29:00,5,363,179,32,31,121,102.45,15,199065401,18
2023-04-01,05:44:00,5,378,201,34,24,119,102.89,15,199065401,18
2023-04-01,05:59:00,5,380,173,42,37,128,103.17,15,199065401,18
2023-04-01,06:14:00,5,412,207,42,40,123,103.72,15,199065401,18
2023-04-01,06:29:00,5,441,231,60,46,104,104.69,15,199065401,18
2023-04-01,06:44:00,5,524,274,80,48,122,105.00,15,199065401,18
2023-04-01,06:59:00,5,550,278,69,57,146,104.63,15,199065401,18
2023-04-01,07:14:00,5,523,300,91,43,89,109.05,15,199065401,18
2023-04-01,07:29:00,5,545,317,81,56,91,107.70,15,199065401,18
2023-04-01,07:44:00,5,637,366,95,54,122,107.05,15,199065401,18
2023-04-01,07:59:00,5,574,358,87,50,79,108.09,15,199065401,18
2023-04-01,08:14:00,5,677,410,104,66,97,107.44,15,199065401,18
2023-04-01,08:29:00,5,749,510,93,63,83,107.74,15,199065401,18
2023-04-01,08:44:00,5,812,556,86,54,116,104.89,15,199065401,18
2023-04-01,08:59:00,5,772,552,76,47,97,106.07,15,199065401,18
2023-04-01,09:14:00,5,904,641,96,63,104,105.63,15,199065401,18
2023-04-01,09:29:00,5,905,664,103,58,80,107.57,15,199065401,18
2023-04-01,09:44:00,5,1046,787,100,53,106,105.74,15,199065401,18
2023-04-01,09:59:00,5,1040,805,95,64,76,106.62,15,199065401,18
2023-04-01,10:14:00,5,1154,859,107,82,106,104.39,15,199065401,18
2023-04-01,10:29:00,5,1256,959,114,86,97,104.19,15,199065401,18
2023-04-01,10:44:00,5,1249,974,99,82,94,104.01,15,199065401,18
2023-04-01,10:59:00,5,1259,994,117,59,89,105.18,15,199065401,18
2023-04-01,11:14:00,5,1468,1143,118,89,118,100.56,15,199065401,18
2023-04-01,11:29:00,5,1430,1122,131,91,86,101.80,15,199065401,18
2023-04-01,11:44:00,5,1419,1086,124,84,125,100.78,15,199065401,18
2023-04-01,11:59:00,5,1364,1082,114,80,88,102.50,15,199065401,18
2023-04-01,12:14:00,5,1290,1008,102,86,94,103.60,15,199065401,18
2023-04-01,12:29:00,5,1335,1087,103,78,67,103.56,15,199065401,18
2023-04-01,12:44:00,5,1237,966,113,62,96,104.33,15,199065401,18
2023-04-01,12:59:00,5,1276,981,115,76,104,100.55,15,199065401,18
2023-04-01,13:14:00,5,968,750,69,60,89,84.92,15,199065401,18
2023-04-01,13:29:00,5,963,755,63,54,91,87.51,15,199065401,18
2023-04-01,13:44:00,5,993,760,60,70,103,90.69,15,199065401,18
2023-04-01,13:59:00,5,900,682,60,45,113,91.11,15,199065401,18
2023-04-01,14:14:00,5,986,771,65,63,87,95.15,15,199065401,18
2023-04-01,14:29:00,5,911,730,46,48,87,98.29,15,199065401,18
2023-04-01,14:44:00,5,852,652,64,62,74,100.76,15,199065401,18
2023-04-01,14:59:00,5,869,678,85,48,58,105.89,15,199065401,18
2023-04-01,15:14:00,5,899,720,67,47,65,108.71,15,199065401,18
2023-04-01,15:29:00,5,937,734,88,57,58,108.82,15,199065401,18
2023-04-01,15:44:00,5,920,727,87,44,62,109.21,15,199065401,18
2023-04-01,15:59:00,5,931,736,87,53,55,109.68,15,199065401,18
2023-04-01,16:14:00,5,1000,808,94,44,54,109.24,15,199065401,18
2023-04-01,16:29:00,5,997,803,78,55,61,108.28,15,199065401,18
2023-04-01,16:44:00,5,972,779,90,41,62,109.19,15,199065401,18
2023-04-01,16:59:00,5,1059,854,83,59,63,108.55,15,199065401,18
2023-04-01,17:14:00,5,1006,810,87,59,50,107.07,15,199065401,18
2023-04-01,17:29:00,5,1011,823,90,42,56,106.45,15,199065401,18
2023-04-01,17:44:00,5,907,724,87,37,59,109.09,15,199065401,18
2023-04-01,17:59:00,5,892,724,68,48,52,110.54,15,199065401,18
2023-04-01,18:14:00,5,862,679,89,45,49,110.31,15,199065401,18
2023-04-01,18:29:00,5,862,678,73,53,58,108.35,15,199065401,18
2023-04-01,18:44:00,5,834,647,97,46,44,108.77,15,199065401,18
2023-04-01,18:59:00,5,753,597,83,34,39,109.91,15,199065401,18
2023-04-01,19:14:00,5,685,568,57,35,25,110.25,15,199065401,18
2023-04-01,19:29:00,5,656,541,51,26,38,111.02,15,199065401,18
2023-04-01,19:44:00,5,651,520,62,30,39,108.95,15,199065401,18
2023-04-01,19:59:00,5,539,428,42,24,45,108.31,15,199065401,18
2023-04-01,20:14:00,5,510,403,52,27,28,108.46,15,199065401,18
2023-04-01,20:29:00,5,554,444,40,33,37,107.60,15,199065401,18
2023-04-01,20:44:00,5,463,363,39,25,36,109.05,15,199065401,18
2023-04-01,20:59:00,5,503,383,59,26,35,108.21,15,199065401,18
2023-04-01,21:14:00,5,501,403,38,25,35,108.50,15,199065401,18
2023-04-01,21:29:00,5,380,306,28,16,30,108.02,15,199065401,18
2023-04-01,21:44:00,5,383,297,36,25,25,107.22,15,199065401,18
2023-04-01,21:59:00,5,369,288,38,22,21,106.77,15,199065401,18
2023-04-01,22:14:00,5,376,298,23,21,34,108.21,15,199065401,18
2023-04-01,22:29:00,5,375,307,23,20,25,106.20,15,199065401,18
2023-04-01,22:44:00,5,320,254,29,14,23,108.83,15,199065401,18
2023-04-01,22:59:00,5,303,227,32,15,29,106.91,15,199065401,18
2023-04-01,23:14:00,5,306,226,27,16,37,107.72,15,199065401,18
2023-04-01,23:29:00,5,299,224,26,17,32,106.88,15,199065401,18
2023-04-01,23:44:00,5,290,233,16,15,26,107.81,15,199065401,18
2023-04-01,23:59:00,5,271,205,18,16,32,109.06,15,199065401,18
2023-04-02,00:14:00,5,232,187,20,12,13,109.23,15,199065401,18
2023-04-02,00:29:00,5,216,174,10,14,18,106.61,15,199065401,18
2023-04-02,00:44:00,5,233,173,14,12,34,105.62,15,199065401,18
2023-04-02,00:59:00,5,195,147,12,9,27,107.17,15,199065401,18
2023-04-02,01:14:00,6,178,137,14,9,18,108.12,15,199065401,18
2023-04-02,01:29:00,6,143,106,13,8,16,105.68,15,199065401,18
2023-04-02,01:44:00,6,143,99,16,3,25,105.98,15,199065401,18
2023-04-02,01:59:00,6,149,98,9,13,29,106.68,15,199065401,18
2023-04-02,02:14:00,6,134,94,12,8,20,107.66,15,199065401,18
2023-04-02,02:29:00,6,124,77,11,7,29,106.77,15,199065401,18
2023-04-02,02:44:00,6,120,81,13,6,20,106.07,15,199065401,18
2023-04-02,02:59:00,6,139,91,9,12,27,103.20,15,199065401,18
2023-04-02,03:14:00,6,135,84,11,7,33,106.28,15,199065401,18
2023-04-02,03:29:00,6,116,78,11,10,17,109.78,15,199065401,18
2023-04-02,03:44:00,6,132,88,10,6,28,106.61,15,199065401,18
2023-04-02,03:59:00,6,98,57,9,4,28,103.11,15,199065401,18
2023-04-02,04:14:00,6,117,71,13,6,27,105.41,15,199065401,18
2023-04-02,04:29:00,6,121,67,15,5,34,105.59,15,199065401,18
2023-04-02,04:44:00,6,163,108,17,12,26,103.56,15,199065401,18
2023-04-02,04:59:00,6,182,120,15,15,32,108.35,15,199065401,18
2023-04-02,05:14:00,6,196,121,18,14,43,105.34,15,199065401,18
2023-04-02,05:29:00,6,209,142,17,14,36,105.93,15,199065401,18
2023-04-02,05:44:00,6,204,140,13,14,37,107.73,15,199065401,18
2023-04-02,05:59:00,6,216,156,18,9,33,108.62,15,199065401,18
2023-04-02,06:14:00,6,185,131,17,14,23,108.93,15,199065401,18
2023-04-02,06:29:00,6,231,142,25,18,46,108.00,15,199065401,18
2023-04-02,06:44:00,6,304,192,46,22,44,109.22,15,199065401,18
2023-04-02,06:59:00,6,282,170,45,30,37,109.77,15,199065401,18
2023-04-02,07:14:00,6,300,216,32,19,33,109.16,15,199065401,18
2023-04-02,07:29:00,6,335,223,41,25,46,108.60,15,199065401,18
2023-04-02,07:44:00,6,347,229,43,35,40,110.68,15,199065401,18
2023-04-02,07:59:00,6,388,294,44,17,33,111.56,15,199065401,18
2023-04-02,08:14:00,6,408,288,43,27,50,109.26,15,199065401,18
2023-04-02,08:29:00,6,430,328,45,17,40,110.14,15,199065401,18
2023-04-02,08:44:00,6,478,347,51,35,45,109.26,15,199065401,18
2023-04-02,08:59:00,6,510,407,39,30,34,111.84,15,199065401,18
2023-04-02,09:14:00,6,595,463,49,31,52,109.45,15,199065401,18
2023-04-02,09:29:00,6,631,516,50,36,29,110.36,15,199065401,18
