MIDAS ID, Legacy MIDAS ID, Site Name
FC82E8BAC1837272E0438DC611AC3F8D,30035033,MIDAS site at M25/4348A priority 1 on link 199121802; GPS Ref: 541523;154271; Clockwise

Local Date, Local Time, Day Type ID, Total Carriageway Flow, Total Flow vehicles less than 5.2m, Total Flow vehicles 5.21m - 6.6m, Total Flow vehicles 6.61m - 11.6m, Total Flow vehicles above 11.6m, Speed Value, Quality Index, Network Link Id, NTIS Model Version
2023-04-01,00:14:00,4,257,179,44,11,23,103.99,15,199121802,18
2023-04-01,00:29:00,4,177,113,31,11,22,104.36,15,199121802,18
2023-04-01,00:44:00,4,211,128,37,18,28,100.87,15,199121802,18
2023-04-01,00:59:00,4,249,162,32,16,39,99.61,15,199121802,18
2023-04-01,01:14:00,5,210,148,19,11,32,98.22,15,199121802,18
2023-04-01,01:29:00,5,195,121,29,18,27,100.17,15,199121802,18
2023-04-01,01:44:00,5,170,103,20,13,34,100.11,15,199121802,18
2023-04-01,01:59:00,5,158,101,15,15,27,97.85,15,199121802,18
2023-04-01,02:14:00,5,157,84,27,12,34,97.86,15,199121802,18
2023-04-01,02:29:00,5,137,85,23,8,21,102.36,15,199121802,18
2023-04-01,02:44:00,5,154,83,20,13,38,99.58,15,199121802,18
2023-04-01,02:59:00,5,158,97,24,16,21,102.80,15,199121802,18
2023-04-01,03:14:00,5,179,107,27,19,26,100.48,15,199121802,18
2023-04-01,03:29:00,5,217,123,44,12,38,101.04,15,199121802,18
2023-04-01,03:44:00,5,247,143,45,14,45,99.38,15,199121802,18
2023-04-01,03:59:00,5,233,147,36,18,32,102.21,15,199121802,18
2023-04-01,04:14:00,5,239,141,38,22,38,100.86,15,199121802,18
2023-04-01,04:29:00,5,249,158,40,15,36,103.76,15,199121802,18
2023-04-01,04:44:00,5,289,171,41,26,51,101.43,15,199121802,18
2023-04-01,04:59:00,5,312,195,50,21,46,102.01,15,199121802,18
2023-04-01,05:14:00,5,356,228,46,32,50,102.14,15,199121802,18
2023-04-01,05:29:00,5,393,227,76,38,52,103.21,15,199121802,18
2023-04-01,05:44:00,5,442,258,80,53,51,102.99,15,199121802,18
2023-04-01,05:59:00,5,527,328,97,51,51,104.51,15,199121802,18
2023-04-01,06:14:00,5,594,374,123,45,52,105.05,15,199121802,18
2023-04-01,06:29:00,5,671,418,142,47,64,106.71,15,199121802,18
2023-04-01,06:44:00,5,679,414,131,77,57,106.80,15,199121802,18
2023-04-01,06:59:00,5,663,401,137,79,46,108.88,15,199121802,18
2023-04-01,07:14:00,5,969,564,228,111,66,107.50,15,199121802,18
2023-04-01,07:29:00,5,829,491,187,92,59,107.71,15,199121802,18
2023-04-01,07:44:00,5,894,547,195,94,58,108.70,15,199121802,18
2023-04-01,07:59:00,5,824,533,151,95,45,107.70,15,199121802,18
2023-04-01,08:14:00,5,835,530,165,83,57,108.79,15,199121802,18
2023-04-01,08:29:00,5,899,571,170,104,54,109.66,15,199121802,18
2023-04-01,08:44:00,5,947,631,157,106,53,109.29,15,199121802,18
2023-04-01,08:59:00,5,974,644,195,85,50,108.57,15,199121802,18
2023-04-01,09:14:00,5,928,632,162,88,46,109.58,15,199121802,18
2023-04-01,09:29:00,5,1130,771,188,108,63,108.56,15,199121802,18
2023-04-01,09:44:00,5,1159,827,204,84,44,107.89,15,199121802,18
2023-04-01,09:59:00,5,1233,868,208,109,48,107.83,15,199121802,18
2023-04-01,10:14:00,5,1135,792,203,95,45,107.89,15,199121802,18
2023-04-01,10:29:00,5,1222,858,219,102,43,92.82,15,199121802,18
2023-04-01,10:44:00,5,1195,774,235,132,54,68.15,15,199121802,18
2023-04-01,10:59:00,5,1294,950,225,87,32,105.36,15,199121802,18
2023-04-01,11:14:00,5,1235,927,190,82,36,108.25,15,199121802,18
2023-04-01,11:29:00,5,1233,930,183,74,46,107.48,15,199121802,18
2023-04-01,11:44:00,5,1256,903,220,101,32,107.21,15,199121802,18
2023-04-01,11:59:00,5,1228,903,202,82,41,107.48,15,199121802,18
2023-04-01,12:14:00,5,1113,820,188,65,40,108.48,15,199121802,18
2023-04-01,12:29:00,5,1104,808,198,59,39,108.77,15,199121802,18
2023-04-01,12:44:00,5,1104,819,180,64,41,109.07,15,199121802,18
2023-04-01,12:59:00,5,1088,834,177,45,32,108.99,15,199121802,18
2023-04-01,13:14:00,5,1097,818,203,55,21,109.32,15,199121802,18
2023-04-01,13:29:00,5,1052,762,176,67,47,109.73,15,199121802,18
2023-04-01,13:44:00,5,1087,830,182,37,38,109.08,15,199121802,18
2023-04-01,13:59:00,5,1015,743,187,48,37,101.94,15,199121802,18
2023-04-01,14:14:00,5,1032,795,155,54,28,97.31,15,199121802,18
2023-04-01,14:29:00,5,877,639,158,45,35,96.96,15,199121802,18
2023-04-01,14:44:00,5,613,380,137,56,40,42.34,15,199121802,18
2023-04-01,14:59:00,5,857,537,176,95,49,38.00,15,199121802,18
2023-04-01,15:14:00,5,922,659,177,62,24,92.20,15,199121802,18
2023-04-01,15:29:00,5,901,667,170,36,28,107.60,15,199121802,18
2023-04-01,15:44:00,5,928,706,162,29,31,111.26,15,199121802,18
2023-04-01,15:59:00,5,900,654,171,50,25,111.31,15,199121802,18
2023-04-01,16:14:00,5,961,719,164,41,37,110.92,15,199121802,18
