MIDAS ID, Legacy MIDAS ID, Site Name
FC82E8BAC1AE7272E0438DC611AC3F8D,30035077,MIDAS site at M25/4409B priority 1 on link 123011501; GPS Ref: 535888;152808; Anti-clockwise

Local Date, Local Time, Day Type ID, Total Carriageway Flow, Total Flow vehicles less than 5.2m, Total Flow vehicles 5.21m - 6.6m, Total Flow vehicles 6.61m - 11.6m, Total Flow vehicles above 11.6m, Speed Value, Quality Index, Network Link Id, NTIS Model Version
2023-04-01,00:14:00,4,322,243,13,19,47,100.05,15,123011501,18
2023-04-01,00:29:00,4,251,205,10,11,25,100.22,15,123011501,18
2023-04-01,00:44:00,4,237,171,5,13,48,98.31,15,123011501,18
2023-04-01,00:59:00,4,288,208,10,17,53,98.80,15,123011501,18
2023-04-01,01:14:00,5,251,195,9,7,40,98.76,15,123011501,18
2023-04-01,01:29:00,5,229,175,9,11,34,98.92,15,123011501,18
2023-04-01,01:44:00,5,151,109,10,9,23,100.79,15,123011501,18
2023-04-01,01:59:00,5,152,108,10,13,21,98.77,15,123011501,18
2023-04-01,02:14:00,5,132,97,8,5,22,100.68,15,123011501,18
2023-04-01,02:29:00,5,133,93,11,11,18,101.06,15,123011501,18
2023-04-01,02:44:00,5,160,117,4,12,27,98.42,15,123011501,18
2023-04-01,02:59:00,5,160,102,10,15,33,97.46,15,123011501,18
2023-04-01,03:14:00,5,113,87,4,5,17,101.65,15,123011501,18
2023-04-01,03:29:00,5,171,131,7,9,24,100.06,15,123011501,18
2023-04-01,03:44:00,5,159,124,5,9,21,100.14,15,123011501,18
2023-04-01,03:59:00,5,149,105,9,4,31,99.78,15,123011501,18
2023-04-01,04:14:00,5,133,95,3,8,27,97.52,15,123011501,18
2023-04-01,04:29:00,5,165,124,8,7,26,100.16,15,123011501,18
2023-04-01,04:44:00,5,165,115,14,13,23,98.65,15,123011501,18
2023-04-01,04:59:00,5,206,143,13,10,40,98.01,15,123011501,18
2023-04-01,05:14:00,5,200,148,13,8,31,99.56,15,123011501,18
2023-04-01,05:29:00,5,228,177,8,7,36,99.40,15,123011501,18
2023-04-01,05:44:00,5,229,152,21,16,40,97.96,15,123011501,18
2023-04-01,05:59:00,5,290,183,16,20,71,96.78,15,123011501,18
2023-04-01,06:14:00,5,326,229,22,19,56,99.40,15,123011501,18
2023-04-01,06:29:00,5,336,247,21,20,48,101.02,15,123011501,18
2023-04-01,06:44:00,5,389,281,25,32,51,101.54,15,123011501,18
2023-04-01,06:59:00,5,424,298,39,31,56,102.65,15,123011501,18
2023-04-01,07:14:00,5,526,424,34,29,39,103.18,15,123011501,18
2023-04-01,07:29:00,5,546,420,32,25,69,101.25,15,123011501,18
2023-04-01,07:44:00,5,588,487,27,33,41,103.43,15,123011501,18
2023-04-01,07:59:00,5,629,515,34,35,45,104.22,15,123011501,18
2023-04-01,08:14:00,5,632,527,40,22,43,103.38,15,123011501,18
2023-04-01,08:29:00,5,725,602,38,41,44,101.75,15,123011501,18
2023-04-01,08:44:00,5,701,591,34,27,49,101.55,15,123011501,18
2023-04-01,08:59:00,5,711,598,36,31,46,101.44,15,123011501,18
2023-04-01,09:14:00,5,876,753,41,38,44,102.13,15,123011501,18
2023-04-01,09:29:00,5,967,819,47,53,48,99.53,15,123011501,18
2023-04-01,09:44:00,5,940,802,45,48,45,99.22,15,123011501,18
2023-04-01,09:59:00,5,1143,971,53,59,60,98.31,15,123011501,18
2023-04-01,10:14:00,5,1090,929,43,58,60,98.41,15,123011501,18
2023-04-01,10:29:00,5,1095,954,51,38,52,80.97,15,123011501,18
2023-04-01,10:44:00,5,1117,960,61,46,50,90.69,15,123011501,18
2023-04-01,10:59:00,5,1151,1005,47,55,44,98.98,15,123011501,18
2023-04-01,11:14:00,5,1158,998,58,53,49,98.63,15,123011501,18
2023-04-01,11:29:00,5,1254,1081,68,59,46,97.79,15,123011501,18
2023-04-01,11:44:00,5,1205,1050,69,57,29,98.87,15,123011501,18
2023-04-01,11:59:00,5,1201,1059,56,43,43,99.03,15,123011501,18
2023-04-01,12:14:00,5,1200,1046,56,51,47,97.85,15,123011501,18
2023-04-01,12:29:00,5,1196,1052,47,54,43,97.67,15,123011501,18
2023-04-01,12:44:00,5,1219,1051,59,59,50,99.68,15,123011501,18
2023-04-01,12:59:00,5,1184,1055,55,36,38,99.10,15,123011501,18
2023-04-01,13:14:00,5,1250,1099,61,44,46,98.99,15,123011501,18
2023-04-01,13:29:00,5,1182,1051,42,43,46,99.07,15,123011501,18
2023-04-01,13:44:00,5,1179,1021,73,38,47,99.29,15,123011501,18
2023-04-01,13:59:00,5,1151,989,78,47,37,98.53,15,123011501,18
2023-04-01,14:14:00,5,863,756,39,29,39,69.27,15,123011501,18
2023-04-01,14:29:00,5,1130,987,56,47,40,74.51,15,123011501,18
2023-04-01,14:44:00,5,949,816,57,41,35,83.46,15,123011501,18
2023-04-01,14:59:00,5,866,757,48,44,17,88.99,15,123011501,18
2023-04-01,15:14:00,5,826,715,40,34,37,103.20,15,123011501,18
2023-04-01,15:29:00,5,1024,900,51,34,39,101.59,15,123011501,18
2023-04-01,15:44:00,5,1129,986,54,47,42,100.42,15,123011501,18
2023-04-01,15:59:00,5,1023,910,56,36,21,100.61,15,123011501,18
2023-04-01,16:14:00,5,1100,983,44,45,28,101.74,15,123011501,18
2023-04-01,16:29:00,5,1154,1006,52,46,50,98.24,15,123011501,18
2023-04-01,16:44:00,5,1136,979,65,53,39,100.02,15,123011501,18
2023-04-01,16:59:00,5,1172,1037,58,52,25,100.25,15,123011501,18
2023-04-01,17:14:00,5,1001,897,50,32,22,102.25,15,123011501,18
2023-04-01,17:29:00,5,1059,942,44,41,32,102.66,15,123011501,18
2023-04-01,17:44:00,5,1052,944,51,34,23,102.66,15,123011501,18
2023-04-01,17:59:00,5,1022,933,30,31,28,102.95,15,123011501,18
2023-04-01,18:14:00,5,1044,949,44,26,25,102.34,15,123011501,18
2023-04-01,18:29:00,5,960,867,39,23,31,103.60,15,123011501,18
2023-04-01,18:44:00,5,950,865,30,21,34,103.11,15,123011501,18
2023-04-01,18:59:00,5,871,783,35,22,31,104.08,15,123011501,18
2023-04-01,19:14:00,5,817,713,41,28,35,103.76,15,123011501,18
2023-04-01,19:29:00,5,679,612,27,12,28,105.31,15,123011501,18
2023-04-01,19:44:00,5,619,557,24,15,23,103.49,15,123011501,18
2023-04-01,19:59:00,5,523,467,20,15,21,102.97,15,123011501,18
2023-04-01,20:14:00,5,502,441,27,14,20,102.96,15,123011501,18
2023-04-01,20:29:00,5,549,484,23,16,26,102.21,15,123011501,18
2023-04-01,20:44:00,5,482,428,21,11,22,101.90,15,123011501,18
