MIDAS ID, Legacy MIDAS ID, Site Name
1BDA60CEBD247D39E0536A2011ACE93C,30035868,MIDAS site at M25/5524B priority 1 on link 199055501; GPS Ref: 540191;199616; Anti-clockwise

Local Date, Local Time, Day Type ID, Total Carriageway Flow, Total Flow vehicles less than 5.2m, Total Flow vehicles 5.21m - 6.6m, Total Flow vehicles 6.61m - 11.6m, Total Flow vehicles above 11.6m, Speed Value, Quality Index, Network Link Id, NTIS Model Version
2023-04-01,00:14:00,4,259,167,41,12,39,100.17,15,199055501,18
2023-04-01,00:29:00,4,222,120,43,15,44,100.05,15,199055501,18
2023-04-01,00:44:00,4,215,117,49,6,43,100.39,15,199055501,18
2023-04-01,00:59:00,4,173,107,30,8,28,102.52,15,199055501,18
2023-04-01,01:14:00,5,195,99,28,16,52,98.67,15,199055501,18
2023-04-01,01:29:00,5,196,95,28,14,59,97.11,15,199055501,18
2023-04-01,01:44:00,5,187,94,36,8,49,99.75,15,199055501,18
2023-04-01,01:59:00,5,157,79,31,10,37,100.55,15,199055501,18
2023-04-01,02:14:00,5,172,94,22,7,49,99.48,15,199055501,18
2023-04-01,02:29:00,5,154,68,26,12,48,98.93,15,199055501,18
2023-04-01,02:44:00,5,168,91,27,9,41,98.35,15,199055501,18
2023-04-01,02:59:00,5,177,85,25,13,54,97.56,15,199055501,18
2023-04-01,03:14:00,5,163,77,23,12,51,97.11,15,199055501,18
2023-04-01,03:29:00,5,141,67,27,15,32,98.39,15,199055501,18
2023-04-01,03:44:00,5,164,74,29,14,47,97.37,15,199055501,18
2023-04-01,03:59:00,5,169,86,24,11,48,99.24,15,199055501,18
2023-04-01,04:14:00,5,176,86,35,9,46,101.20,15,199055501,18
2023-04-01,04:29:00,5,193,104,38,13,38,100.48,15,199055501,18
2023-04-01,04:44:00,5,222,105,52,7,58,101.20,15,199055501,18
2023-04-01,04:59:00,5,230,113,47,14,56,100.70,15,199055501,18
2023-04-01,05:14:00,5,274,146,60,19,49,101.35,15,199055501,18
2023-04-01,05:29:00,5,301,152,67,22,60,100.89,15,199055501,18
2023-04-01,05:44:00,5,349,186,73,35,55,96.40,15,199055501,18
2023-04-01,05:59:00,5,446,240,111,38,57,96.46,15,199055501,18
2023-04-01,06:14:00,5,477,277,105,32,63,98.54,15,199055501,18
2023-04-01,06:29:00,5,591,316,161,38,76,97.21,15,199055501,18
2023-04-01,06:44:00,5,573,310,157,47,59,99.77,15,199055501,18
2023-04-01,06:59:00,5,688,397,161,65,65,101.55,15,199055501,18
2023-04-01,07:14:00,5,715,380,171,66,98,103.22,15,199055501,18
2023-04-01,07:29:00,5,725,439,163,69,54,105.11,15,199055501,18
2023-04-01,07:44:00,5,804,460,191,66,87,103.64,15,199055501,18
2023-04-01,07:59:00,5,771,479,183,58,51,104.64,15,199055501,18
2023-04-01,08:14:00,5,814,529,134,76,75,103.85,15,199055501,18
2023-04-01,08:29:00,5,916,617,151,72,76,103.80,15,199055501,18
2023-04-01,08:44:00,5,930,613,175,60,82,102.85,15,199055501,18
2023-04-01,08:59:00,5,972,650,175,77,70,102.64,15,199055501,18
2023-04-01,09:14:00,5,1006,679,173,72,82,103.11,15,199055501,18
2023-04-01,09:29:00,5,1089,743,188,66,92,101.85,15,199055501,18
2023-04-01,09:44:00,5,987,682,165,69,71,101.85,15,199055501,18
2023-04-01,09:59:00,5,1153,822,178,82,71,101.85,15,199055501,18
2023-04-01,10:14:00,5,1299,924,226,91,58,101.96,15,199055501,18
2023-04-01,10:29:00,5,1270,909,199,95,67,102.16,15,199055501,18
2023-04-01,10:44:00,5,1279,891,216,94,78,100.11,15,199055501,18
2023-04-01,10:59:00,5,1336,937,229,89,81,100.64,15,199055501,18
2023-04-01,11:14:00,5,1387,1000,213,92,82,99.83,15,199055501,18
2023-04-01,11:29:00,5,1280,896,249,72,63,100.58,15,199055501,18
2023-04-01,11:44:00,5,1430,1003,259,96,72,99.25,15,199055501,18
2023-04-01,11:59:00,5,1356,987,221,91,57,100.83,15,199055501,18
2023-04-01,12:14:00,5,1347,944,233,99,71,100.47,15,199055501,18
2023-04-01,12:29:00,5,1338,948,215,100,75,100.21,15,199055501,18
2023-04-01,12:44:00,5,1408,1004,219,114,71,100.10,15,199055501,18
2023-04-01,12:59:00,5,1267,922,210,82,53,102.29,15,199055501,18
2023-04-01,13:14:00,5,1420,1014,233,104,69,101.06,15,199055501,18
2023-04-01,13:29:00,5,1383,1012,228,81,62,100.84,15,199055501,18
2023-04-01,13:44:00,5,1330,945,224,90,71,101.34,15,199055501,18
2023-04-01,13:59:00,5,1295,909,222,80,84,102.58,15,199055501,18
2023-04-01,14:14:00,5,1240,862,218,84,76,102.81,15,199055501,18
2023-04-01,14:29:00,5,1319,924,237,93,65,102.26,15,199055501,18
2023-04-01,14:44:00,5,1253,891,204,103,55,102.87,15,199055501,18
2023-04-01,14:59:00,5,1169,823,205,79,62,103.19,15,199055501,18
2023-04-01,15:14:00,5,1282,945,192,91,54,101.81,15,199055501,18
2023-04-01,15:29:00,5,1334,937,227,91,79,100.91,15,199055501,18
