MIDAS ID, Legacy MIDAS ID, Site Name
1E0D396756D427B8E053802011AC1DC5,30036475,MIDAS site at M25/4052L priority 1 on link 200124586; GPS Ref: 556202;175425; Anti-clockwise

Local Date, Local Time, Day Type ID, Total Carriageway Flow, Total Flow vehicles less than 5.2m, Total Flow vehicles 5.21m - 6.6m, Total Flow vehicles 6.61m - 11.6m, Total Flow vehicles above 11.6m, Speed Value, Quality Index, Network Link Id, NTIS Model Version
2023-04-01,00:14:00,4,10,6,2,1,1,33.43,15,200124586,18
2023-04-01,00:29:00,4,0,0,0,0,0,0.00,15,200124586,18
2023-04-01,00:44:00,4,0,0,0,0,0,0.00,15,200124586,18
2023-04-01,00:59:00,4,0,0,0,0,0,0.00,15,200124586,18
2023-04-01,01:14:00,5,0,0,0,0,0,0.00,15,200124586,18
2023-04-01,01:29:00,5,0,0,0,0,0,0.00,15,200124586,18
2023-04-01,01:44:00,5,0,0,0,0,0,0.00,15,200124586,18
2023-04-01,01:59:00,5,0,0,0,0,0,0.00,15,200124586,18
2023-04-01,02:14:00,5,0,0,0,0,0,0.00,15,200124586,18
2023-04-01,02:29:00,5,0,0,0,0,0,0.00,15,200124586,18
2023-04-01,02:44:00,5,0,0,0,0,0,0.00,15,200124586,18
2023-04-01,02:59:00,5,2,2,0,0,0,24.49,15,200124586,18
2023-04-01,03:14:00,5,0,0,0,0,0,0.00,15,200124586,18
2023-04-01,03:29:00,5,25,10,2,1,12,66.89,15,200124586,18
2023-04-01,03:44:00,5,84,53,7,5,19,61.21,15,200124586,18
2023-04-01,03:59:00,5,89,49,10,8,22,68.81,15,200124586,18
2023-04-01,04:14:00,5,76,46,8,4,18,68.23,15,200124586,18
2023-04-01,04:29:00,5,92,55,9,4,24,63.33,15,200124586,18
2023-04-01,04:44:00,5,106,60,9,10,27,64.45,15,200124586,18
2023-04-01,04:59:00,5,90,48,13,4,25,50.17,15,200124586,18
2023-04-01,05:14:00,5,143,83,13,16,31,67.52,15,200124586,18
2023-04-01,05:29:00,5,205,125,33,14,33,65.62,15,200124586,18
2023-04-01,05:44:00,5,214,130,28,16,40,64.03,15,200124586,18
2023-04-01,05:59:00,5,213,109,37,25,42,49.03,15,200124586,18
2023-04-01,06:14:00,5,218,120,32,26,40,67.90,15,200124586,18
2023-04-01,06:29:00,5,218,118,41,27,32,56.67,15,200124586,18
2023-04-01,06:44:00,5,279,151,40,43,45,60.10,15,200124586,18
2023-04-01,06:59:00,5,257,142,50,28,37,65.55,15,200124586,18
2023-04-01,07:14:00,5,275,145,51,34,45,58.13,15,200124586,18
2023-04-01,07:29:00,5,279,154,51,37,37,58.76,15,200124586,18
2023-04-01,07:44:00,5,313,177,59,38,39,66.03,15,200124586,18
2023-04-01,07:59:00,5,288,180,47,23,38,56.08,15,200124586,18
2023-04-01,08:14:00,5,318,209,40,24,45,43.95,15,200124586,18
2023-04-01,08:29:00,5,311,202,45,31,33,40.23,15,200124586,18
2023-04-01,08:44:00,5,400,287,37,34,42,44.98,15,200124586,18
2023-04-01,08:59:00,5,424,289,56,31,48,56.63,15,200124586,18
2023-04-01,09:14:00,5,441,321,53,32,35,50.35,15,200124586,18
2023-04-01,09:29:00,5,488,366,47,32,43,61.94,15,200124586,18
2023-04-01,09:44:00,5,525,400,55,29,41,53.07,15,200124586,18
2023-04-01,09:59:00,5,541,389,76,33,43,53.27,15,200124586,18
2023-04-01,10:14:00,5,562,416,63,32,51,56.49,15,200124586,18
2023-04-01,10:29:00,5,586,439,74,22,51,59.83,15,200124586,18
2023-04-01,10:44:00,5,623,496,54,27,46,44.14,15,200124586,18
2023-04-01,10:59:00,5,638,505,60,28,45,43.93,15,200124586,18
2023-04-01,11:14:00,5,702,574,61,27,40,38.16,15,200124586,18
2023-04-01,11:29:00,5,682,552,55,32,43,38.77,15,200124586,18
2023-04-01,11:44:00,5,689,572,54,27,36,37.74,15,200124586,18
2023-04-01,11:59:00,5,720,577,56,34,53,34.07,15,200124586,18
2023-04-01,12:14:00,5,613,466,69,31,47,32.46,15,200124586,18
2023-04-01,12:29:00,5,629,485,70,30,44,33.31,15,200124586,18
2023-04-01,12:44:00,5,609,461,78,26,44,31.49,15,200124586,18
2023-04-01,12:59:00,5,704,572,65,23,44,33.69,15,200124586,18
2023-04-01,13:14:00,5,673,531,63,28,51,35.82,15,200124586,18
2023-04-01,13:29:00,5,624,498,55,30,41,32.75,15,200124586,18
2023-04-01,13:44:00,5,680,505,65,49,61,35.42,15,200124586,18
2023-04-01,13:59:00,5,584,464,44,24,52,32.30,15,200124586,18
2023-04-01,14:14:00,5,705,579,66,36,24,33.97,15,200124586,18
2023-04-01,14:29:00,5,522,407,50,23,42,28.45,15,200124586,18
2023-04-01,14:44:00,5,493,391,53,22,27,31.76,15,200124586,18
2023-04-01,14:59:00,5,710,535,94,32,49,51.05,15,200124586,18
2023-04-01,15:14:00,5,537,400,76,27,34,50.59,15,200124586,18
2023-04-01,15:29:00,5,476,386,36,15,39,35.34,15,200124586,18
2023-04-01,15:44:00,5,534,405,66,21,42,53.92,15,200124586,18
2023-04-01,15:59:00,5,518,418,55,20,25,64.43,15,200124586,18
2023-04-01,16:14:00,5,502,411,52,18,21,60.87,15,200124586,18
2023-04-01,16:29:00,5,544,427,68,17,32,63.72,15,200124586,18
2023-04-01,16:44:00,5,544,432,64,17,31,49.70,15,200124586,18
2023-04-01,16:59:00,5,628,504,69,22,33,59.56,15,200124586,18
2023-04-01,17:14:00,5,520,426,45,18,31,54.68,15,200124586,18
