MIDAS ID, Legacy MIDAS ID, Site Name
DD5190FA12B22FA9E0433CC411AC9094,30034549,MIDAS site at M25/4690A priority 1 on link 200047930; GPS Ref: 511060;157570; Clockwise

Local Date, Local Time, Day Type ID, Total Carriageway Flow, Total Flow vehicles less than 5.2m, Total Flow vehicles 5.21m - 6.6m, Total Flow vehicles 6.61m - 11.6m, Total Flow vehicles above 11.6m, Speed Value, Quality Index, Network Link Id, NTIS Model Version
2023-04-01,00:14:00,4,177,150,6,7,14,90.05,15,200047930,18
2023-04-01,00:29:00,4,125,100,6,6,13,89.16,15,200047930,18
2023-04-01,00:44:00,4,111,93,7,4,7,87.07,15,200047930,18
2023-04-01,00:59:00,4,109,86,3,5,15,86.87,15,200047930,18
2023-04-01,01:14:00,5,102,72,4,4,22,86.21,15,200047930,18
2023-04-01,01:29:00,5,113,85,4,8,16,87.68,15,200047930,18
2023-04-01,01:44:00,5,110,83,2,7,18,88.37,15,200047930,18
2023-04-01,01:59:00,5,97,73,2,5,17,86.82,15,200047930,18
2023-04-01,02:14:00,5,92,63,8,5,16,88.57,15,200047930,18
2023-04-01,02:29:00,5,109,73,6,5,25,88.51,15,200047930,18
2023-04-01,02:44:00,5,79,58,0,2,19,87.03,15,200047930,18
2023-04-01,02:59:00,5,70,46,2,3,19,89.39,15,200047930,18
2023-04-01,03:14:00,5,82,47,6,3,26,88.38,15,200047930,18
2023-04-01,03:29:00,5,85,56,5,9,15,88.19,15,200047930,18
2023-04-01,03:44:00,5,111,75,3,5,28,87.89,15,200047930,18
2023-04-01,03:59:00,5,101,57,5,8,31,86.53,15,200047930,18
2023-04-01,04:14:00,5,141,92,7,8,34,87.16,15,200047930,18
2023-04-01,04:29:00,5,116,79,3,8,26,86.60,15,200047930,18
2023-04-01,04:44:00,5,169,122,13,11,23,89.05,15,200047930,18
2023-04-01,04:59:00,5,200,143,13,7,37,89.33,15,200047930,18
2023-04-01,05:14:00,5,222,158,15,15,34,76.76,15,200047930,18
2023-04-01,05:29:00,5,299,236,9,18,36,83.01,15,200047930,18
2023-04-01,05:44:00,5,302,248,18,9,27,96.69,15,200047930,18
2023-04-01,05:59:00,5,359,280,33,20,26,104.53,15,200047930,18
2023-04-01,06:14:00,5,453,341,35,37,40,102.73,15,200047930,18
2023-04-01,06:29:00,5,521,443,33,17,28,105.66,15,200047930,18
2023-04-01,06:44:00,5,582,497,33,28,24,107.40,15,200047930,18
2023-04-01,06:59:00,5,588,491,53,20,24,106.81,15,200047930,18
2023-04-01,07:14:00,5,573,472,46,33,22,106.89,15,200047930,18
2023-04-01,07:29:00,5,755,634,64,34,23,107.54,15,200047930,18
2023-04-01,07:44:00,5,861,717,68,32,44,106.96,15,200047930,18
2023-04-01,07:59:00,5,781,687,43,26,25,108.19,15,200047930,18
2023-04-01,08:14:00,5,845,747,44,28,26,94.44,15,200047930,18
2023-04-01,08:29:00,5,876,783,39,16,38,79.58,15,200047930,18
2023-04-01,08:44:00,5,883,763,55,20,45,61.09,15,200047930,18
2023-04-01,08:59:00,5,942,847,38,20,37,95.04,15,200047930,18
2023-04-01,09:14:00,5,1090,992,43,19,36,95.78,15,200047930,18
2023-04-01,09:29:00,5,1164,1070,46,23,25,94.90,15,200047930,18
2023-04-01,09:44:00,5,1227,1115,39,40,33,95.32,15,200047930,18
2023-04-01,09:59:00,5,1279,1175,33,31,40,94.81,15,200047930,18
2023-04-01,10:14:00,5,1275,1186,29,30,30,93.77,15,200047930,18
2023-04-01,10:29:00,5,1330,1208,51,25,46,95.39,15,200047930,18
2023-04-01,10:44:00,5,1321,1209,31,35,46,94.41,15,200047930,18
2023-04-01,10:59:00,5,1324,1217,41,29,37,94.29,15,200047930,18
2023-04-01,11:14:00,5,1300,1193,51,36,20,84.55,15,200047930,18
2023-04-01,11:29:00,5,1067,947,60,25,35,30.26,15,200047930,18
2023-04-01,11:44:00,5,722,600,51,35,36,15.75,15,200047930,18
2023-04-01,11:59:00,5,632,509,50,28,45,12.10,15,200047930,18
2023-04-01,12:14:00,5,806,687,41,33,45,16.89,15,200047930,18
2023-04-01,12:29:00,5,1145,1016,47,45,37,27.94,15,200047930,18
2023-04-01,12:44:00,5,1254,1123,51,30,50,32.49,15,200047930,18
2023-04-01,12:59:00,5,1086,974,52,27,33,53.49,15,200047930,18
2023-04-01,13:14:00,5,1024,938,40,21,25,76.00,15,200047930,18
2023-04-01,13:29:00,5,1029,939,40,28,22,86.33,15,200047930,18
2023-04-01,13:44:00,5,1007,915,39,26,27,95.35,15,200047930,18
2023-04-01,13:59:00,5,1023,924,43,20,36,96.95,15,200047930,18
2023-04-01,14:14:00,5,923,838,41,22,22,97.11,15,200047930,18
2023-04-01,14:29:00,5,646,604,25,12,5,106.97,15,200047930,18
2023-04-01,14:44:00,5,987,919,37,20,11,108.43,15,200047930,18
2023-04-01,14:59:00,5,973,876,52,22,23,107.61,15,200047930,18
2023-04-01,15:14:00,5,1186,1078,50,24,34,104.68,15,200047930,18
2023-04-01,15:29:00,5,1105,1006,40,14,45,105.50,15,200047930,18
2023-04-01,15:44:00,5,983,889,40,31,23,106.56,15,200047930,18
2023-04-01,15:59:00,5,962,885,35,20,22,106.82,15,200047930,18
2023-04-01,16:14:00,5,943,883,29,11,20,107.30,15,200047930,18
2023-04-01,16:29:00,5,943,862,40,22,19,106.06,15,200047930,18
2023-04-01,16:44:00,5,979,905,26,21,27,106.70,15,200047930,18
2023-04-01,16:59:00,5,983,911,40,15,17,106.48,15,200047930,18
2023-04-01,17:14:00,5,933,856,37,16,24,107.08,15,200047930,18
2023-04-01,17:29:00,5,976,902,41,11,22,106.85,15,200047930,18
2023-04-01,17:44:00,5,948,886,38,12,12,108.17,15,200047930,18
2023-04-01,17:59:00,5,1011,936,46,15,14,107.16,15,200047930,18
2023-04-01,18:14:00,5,984,905,36,12,31,106.12,15,200047930,18
2023-04-01,18:29:00,5,997,927,35,18,17,107.74,15,200047930,18
2023-04-01,18:44:00,5,922,850,33,15,24,107.77,15,200047930,18
2023-04-01,18:59:00,5,913,831,38,11,33,104.71,15,200047930,18
2023-04-01,19:14:00,5,831,747,38,6,40,105.61,15,200047930,18
2023-04-01,19:29:00,5,697,641,29,14,13,106.74,15,200047930,18
2023-04-01,19:44:00,5,618,553,27,16,22,105.00,15,200047930,18
2023-04-01,19:59:00,5,545,501,15,7,22,105.50,15,200047930,18
2023-04-01,20:14:00,5,515,462,22,13,18,107.07,15,200047930,18
2023-04-01,20:29:00,5,495,447,23,9,16,105.84,15,200047930,18
2023-04-01,20:44:00,5,469,424,13,10,22,106.36,15,200047930,18
2023-04-01,20:59:00,5,444,410,13,4,17,106.92,15,200047930,18
2023-04-01,21:14:00,5,415,384,14,5,12,107.02,15,200047930,18
2023-04-01,21:29:00,5,392,347,15,8,22,104.52,15,200047930,18
2023-04-01,21:44:00,5,382,350,16,4,12,106.51,15,200047930,18
2023-04-01,21:59:00,5,356,324,11,5,16,104.17,15,200047930,18
2023-04-01,22:14:00,5,280,256,6,5,13,103.07,15,200047930,18
2023-04-01,22:29:00,5,342,310,10,7,15,100.92,15,200047930,18
2023-04-01,22:44:00,5,263,219,10,7,27,101.31,15,200047930,18
2023-04-01,22:59:00,5,199,176,6,9,8,105.17,15,200047930,18
2023-04-01,23:14:00,5,203,177,8,8,10,104.28,15,200047930,18
2023-04-01,23:29:00,5,175,150,12,6,7,104.00,15,200047930,18
2023-04-01,23:44:00,5,154,131,3,6,14,101.93,15,200047930,18
2023-04-01,23:59:00,5,1,1,0,0,0,79.00,15,200047930,18
2023-04-02,00:14:00,5,0,0,0,0,0,0.00,15,200047930,18
2023-04-02,00:29:00,5,0,0,0,0,0,0.00,15,200047930,18
2023-04-02,00:44:00,5,0,0,0,0,0,0.00,15,200047930,18
2023-04-02,00:59:00,5,0,0,0,0,0,0.00,15,200047930,18
2023-04-02,01:14:00,6,0,0,0,0,0,0.00,15,200047930,18
2023-04-02,01:29:00,6,0,0,0,0,0,0.00,15,200047930,18
2023-04-02,01:44:00,6,0,0,0,0,0,0.00,15,200047930,18
2023-04-02,01:59:00,6,2,2,0,0,0,80.21,15,200047930,18
2023-04-02,02:14:00,6,0,0,0,0,0,0.00,15,200047930,18
2023-04-02,02:29:00,6,0,0,0,0,0,0.00,15,200047930,18
2023-04-02,02:44:00,6,1,0,0,1,0,51.00,15,200047930,18
2023-04-02,02:59:00,6,0,0,0,0,0,0.00,15,200047930,18
2023-04-02,03:14:00,6,1,1,0,0,0,47.00,15,200047930,18
2023-04-02,03:29:00,6,1,0,1,0,0,48.00,15,200047930,18
2023-04-02,03:44:00,6,0,0,0,0,0,0.00,15,200047930,18
2023-04-02,03:59:00,6,0,0,0,0,0,0.00,15,200047930,18
2023-04-02,04:14:00,6,0,0,0,0,0,0.00,15,200047930,18
2023-04-02,04:29:00,6,0,0,0,0,0,0.00,15,200047930,18
2023-04-02,04:44:00,6,0,0,0,0,0,0.00,15,200047930,18
2023-04-02,04:59:00,6,0,0,0,0,0,0.00,15,200047930,18
2023-04-02,05:14:00,6,1,1,0,0,0,59.00,15,200047930,18
2023-04-02,05:29:00,6,0,0,0,0,0,0.00,15,200047930,18
2023-04-02,05:44:00,6,0,0,0,0,0,0.00,15,200047930,18
2023-04-02,05:59:00,6,0,0,0,0,0,0.00,15,200047930,18
2023-04-02,06:14:00,6,0,0,0,0,0,0.00,15,200047930,18
2023-04-02,06:29:00,6,0,0,0,0,0,0.00,15,200047930,18
2023-04-02,06:44:00,6,1,1,0,0,0,74.00,15,200047930,18
2023-04-02,06:59:00,6,0,0,0,0,0,0.00,15,200047930,18
2023-04-02,07:14:00,6,116,97,8,5,6,108.64,15,200047930,18
2023-04-02,07:29:00,6,340,286,23,14,17,107.42,15,200047930,18
2023-04-02,07:44:00,6,328,277,22,17,12,107.23,15,200047930,18
2023-04-02,07:59:00,6,466,417,29,10,10,107.90,15,200047930,18
2023-04-02,08:14:00,6,495,442,29,11,13,108.59,15,200047930,18
2023-04-02,08:29:00,6,587,541,33,9,4,109.83,15,200047930,18
2023-04-02,08:44:00,6,699,625,25,15,34,108.14,15,200047930,18
2023-04-02,08:59:00,6,769,710,26,11,22,107.58,15,200047930,18
2023-04-02,09:14:00,6,782,733,20,13,16,107.81,15,200047930,18
2023-04-02,09:29:00,6,902,830,27,8,37,107.72,15,200047930,18
2023-04-02,09:44:00,6,993,922,24,20,27,106.84,15,200047930,18
2023-04-02,09:59:00,6,1067,997,33,13,24,104.96,15,200047930,18
2023-04-02,10:14:00,6,1139,1074,30,12,23,107.00,15,200047930,18
2023-04-02,10:29:00,6,1219,1153,36,13,17,105.57,15,200047930,18
2023-04-02,10:44:00,6,1285,1212,32,11,30,105.72,15,200047930,18
2023-04-02,10:59:00,6,1287,1211,27,21,28,105.52,15,200047930,18
2023-04-02,11:14:00,6,1264,1188,33,19,24,106.08,15,200047930,18
2023-04-02,11:29:00,6,1250,1178,29,25,18,105.07,15,200047930,18
2023-04-02,11:44:00,6,1268,1179,36,19,34,94.18,15,200047930,18
2023-04-02,11:59:00,6,1301,1235,33,20,13,99.12,15,200047930,18
2023-04-02,12:14:00,6,1309,1237,30,19,23,105.34,15,200047930,18
2023-04-02,12:29:00,6,1276,1193,44,16,23,105.32,15,200047930,18
2023-04-02,12:44:00,6,1256,1181,36,19,20,107.12,15,200047930,18
2023-04-02,12:59:00,6,1192,1118,38,19,17,106.70,15,200047930,18
2023-04-02,13:14:00,6,1196,1138,30,10,18,106.16,15,200047930,18
2023-04-02,13:29:00,6,1188,1092,31,19,46,105.07,15,200047930,18
2023-04-02,13:44:00,6,1017,944,28,16,29,106.88,15,200047930,18
2023-04-02,13:59:00,6,1090,1002,34,15,39,105.80,15,200047930,18
2023-04-02,14:14:00,6,1008,923,40,19,26,107.32,15,200047930,18
2023-04-02,14:29:00,6,1077,1010,30,18,19,105.82,15,200047930,18
2023-04-02,14:44:00,6,1070,983,38,21,28,107.39,15,200047930,18
2023-04-02,14:59:00,6,1145,1047,36,33,29,105.19,15,200047930,18
2023-04-02,15:14:00,6,1110,1030,30,25,25,106.47,15,200047930,18
2023-04-02,15:29:00,6,1124,1020,34,27,43,106.40,15,200047930,18
2023-04-02,15:44:00,6,1187,1083,36,18,50,106.29,15,200047930,18
2023-04-02,15:59:00,6,1099,1010,34,25,30,95.91,15,200047930,18
2023-04-02,16:14:00,6,1062,992,34,17,19,94.58,15,200047930,18
2023-04-02,16:29:00,6,1108,1043,30,17,18,90.40,15,200047930,18
2023-04-02,16:44:00,6,1343,1237,40,23,43,98.61,15,200047930,18
2023-04-02,16:59:00,6,1150,1076,30,16,28,107.68,15,200047930,18
2023-04-02,17:14:00,6,1175,1061,42,21,51,100.21,15,200047930,18
2023-04-02,17:29:00,6,1186,1105,34,14,33,97.67,15,200047930,18
2023-04-02,17:44:00,6,1188,1102,42,15,29,100.47,15,200047930,18
2023-04-02,17:59:00,6,1195,1105,40,14,36,67.07,15,200047930,18
2023-04-02,18:14:00,6,995,920,33,15,27,24.56,15,200047930,18
2023-04-02,18:29:00,6,1086,1000,37,19,30,29.36,15,200047930,18
2023-04-02,18:44:00,6,983,914,30,16,23,77.44,15,200047930,18
2023-04-02,18:59:00,6,992,898,35,20,39,92.02,15,200047930,18
2023-04-02,19:14:00,6,961,888,23,6,44,94.00,15,200047930,18
2023-04-02,19:29:00,6,870,790,32,23,25,95.83,15,200047930,18
2023-04-02,19:44:00,6,868,816,28,12,12,95.60,15,200047930,18
2023-04-02,19:59:00,6,805,729,27,21,28,97.93,15,200047930,18
2023-04-02,20:14:00,6,711,653,20,14,24,105.25,15,200047930,18
2023-04-02,20:29:00,6,631,580,19,13,19,104.53,15,200047930,18
2023-04-02,20:44:00,6,657,588,32,10,27,104.67,15,200047930,18
2023-04-02,20:59:00,6,598,543,18,11,26,106.47,15,200047930,18
2023-04-02,21:14:00,6,572,512,18,12,30,107.24,15,200047930,18
2023-04-02,21:29:00,6,515,472,13,11,19,107.50,15,200047930,18
2023-04-02,21:44:00,6,474,427,13,10,24,108.05,15,200047930,18
2023-04-02,21:59:00,6,347,306,15,11,15,106.74,15,200047930,18
2023-04-02,22:14:00,6,336,288,17,9,22,107.76,15,200047930,18
2023-04-02,22:29:00,6,319,285,8,9,17,107.37,15,200047930,18
2023-04-02,22:44:00,6,307,275,10,6,16,108.24,15,200047930,18
2023-04-02,22:59:00,6,320,281,12,8,19,107.44,15,200047930,18
2023-04-02,23:14:00,6,271,243,5,6,17,109.08,15,200047930,18
2023-04-02,23:29:00,6,263,231,11,7,14,108.69,15,200047930,18
2023-04-02,23:44:00,6,226,187,11,8,20,107.08,15,200047930,18
2023-04-02,23:59:00,6,201,170,10,4,17,107.76,15,200047930,18
2023-04-03,00:14:00,6,199,164,6,4,25,105.36,15,200047930,18
2023-04-03,00:29:00,6,184,150,11,6,17,106.67,15,200047930,18
2023-04-03,00:44:00,6,161,130,1,10,20,105.37,15,200047930,18
2023-04-03,00:59:00,6,144,115,5,6,18,105.30,15,200047930,18
2023-04-03,01:14:00,7,124,107,2,3,12,105.51,15,200047930,18
2023-04-03,01:29:00,7,120,92,2,4,22,103.55,15,200047930,18
2023-04-03,01:44:00,7,99,62,6,4,27,102.09,15,200047930,18
2023-04-03,01:59:00,7,76,57,4,2,13,104.57,15,200047930,18
2023-04-03,02:14:00,7,70,40,1,2,27,99.13,15,200047930,18
2023-04-03,02:29:00,7,72,46,5,2,19,101.69,15,200047930,18
2023-04-03,02:44:00,7,117,73,9,7,28,101.13,15,200047930,18
2023-04-03,02:59:00,7,94,61,6,6,21,102.38,15,200047930,18
2023-04-03,03:14:00,7,97,63,6,6,22,102.62,15,200047930,18
2023-04-03,03:29:00,7,76,43,7,4,22,100.05,15,200047930,18
2023-04-03,03:44:00,7,100,67,4,10,19,104.07,15,200047930,18
2023-04-03,03:59:00,7,102,70,4,3,25,103.57,15,200047930,18
2023-04-03,04:14:00,7,163,111,8,11,33,102.15,15,200047930,18
2023-04-03,04:29:00,7,183,124,14,9,36,104.46,15,200047930,18
2023-04-03,04:44:00,7,238,162,22,15,39,105.40,15,200047930,18
2023-04-03,04:59:00,7,305,213,21,22,49,104.18,15,200047930,18
2023-04-03,05:14:00,7,392,276,35,26,55,104.91,15,200047930,18
2023-04-03,05:29:00,7,536,394,40,34,68,105.53,15,200047930,18
2023-04-03,05:44:00,7,699,518,65,40,76,105.91,15,200047930,18
2023-04-03,05:59:00,7,896,679,79,55,83,105.66,15,200047930,18
2023-04-03,06:14:00,7,1221,962,106,62,91,103.12,15,200047930,18
2023-04-03,06:29:00,7,1469,1178,132,73,86,99.13,15,200047930,18
2023-04-03,06:44:00,7,1581,1275,139,70,97,68.70,15,200047930,18
2023-04-03,06:59:00,7,1422,1133,142,71,76,39.02,15,200047930,18
2023-04-03,07:14:00,7,1429,1134,159,60,76,39.37,15,200047930,18
2023-04-03,07:29:00,7,1233,975,124,63,71,33.39,15,200047930,18
2023-04-03,07:44:00,7,1303,1042,116,66,79,53.92,15,200047930,18
2023-04-03,07:59:00,7,1094,837,107,63,87,32.52,15,200047930,18
