MIDAS ID, Legacy MIDAS ID, Site Name
13B58EA449154C87860154B2F24658D3,30029734,MIDAS site at M25/4124A priority 1 on link 104026701; GPS Ref: 553594;169149; Clockwise

Local Date, Local Time, Day Type ID, Total Carriageway Flow, Total Flow vehicles less than 5.2m, Total Flow vehicles 5.21m - 6.6m, Total Flow vehicles 6.61m - 11.6m, Total Flow vehicles above 11.6m, Speed Value, Quality Index, Network Link Id, NTIS Model Version
2023-04-01,00:14:00,4,187,135,28,7,17,106.40,15,104026701,18
2023-04-01,00:29:00,4,186,120,26,18,22,106.27,15,104026701,18
2023-04-01,00:44:00,4,162,114,17,7,24,103.77,15,104026701,18
2023-04-01,00:59:00,4,145,90,27,7,21,105.64,15,104026701,18
2023-04-01,01:14:00,5,123,91,18,1,13,106.59,15,104026701,18
2023-04-01,01:29:00,5,112,62,20,9,21,102.87,15,104026701,18
2023-04-01,01:44:00,5,116,72,17,11,16,105.92,15,104026701,18
2023-04-01,01:59:00,5,123,78,14,5,26,104.66,15,104026701,18
2023-04-01,02:14:00,5,100,58,13,9,20,104.82,15,104026701,18
2023-04-01,02:29:00,5,100,45,20,9,26,103.81,15,104026701,18
2023-04-01,02:44:00,5,89,56,7,5,21,103.29,15,104026701,18
2023-04-01,02:59:00,5,115,80,8,9,18,102.75,15,104026701,18
2023-04-01,03:14:00,5,105,51,18,11,25,103.02,15,104026701,18
2023-04-01,03:29:00,5,132,72,26,5,29,104.79,15,104026701,18
2023-04-01,03:44:00,5,111,71,15,8,17,107.57,15,104026701,18
2023-04-01,03:59:00,5,116,73,14,9,20,107.41,15,104026701,18
2023-04-01,04:14:00,5,119,68,23,6,22,106.50,15,104026701,18
2023-04-01,04:29:00,5,139,71,21,18,29,103.85,15,104026701,18
2023-04-01,04:44:00,5,168,103,28,15,22,105.60,15,104026701,18
2023-04-01,04:59:00,5,156,83,32,12,29,104.82,15,104026701,18
2023-04-01,05:14:00,5,191,101,33,22,35,105.09,15,104026701,18
2023-04-01,05:29:00,5,199,112,46,16,25,105.12,15,104026701,18
2023-04-01,05:44:00,5,279,162,50,25,42,104.91,15,104026701,18
