MIDAS ID, Legacy MIDAS ID, Site Name
B926B15F38AC4821819D310E9F45CF61,30029818,MIDAS site at M25/4068B priority 1 on link 199123301; GPS Ref: 555550;174027; Anti-clockwise

Local Date, Local Time, Day Type ID, Total Carriageway Flow, Total Flow vehicles less than 5.2m, Total Flow vehicles 5.21m - 6.6m, Total Flow vehicles 6.61m - 11.6m, Total Flow vehicles above 11.6m, Speed Value, Quality Index, Network Link Id, NTIS Model Version
2023-04-01,00:14:00,4,303,210,14,11,68,78.81,15,199123301,18
2023-04-01,00:29:00,4,250,182,17,15,36,77.78,15,199123301,18
2023-04-01,00:44:00,4,240,155,11,16,58,77.34,15,199123301,18
2023-04-01,00:59:00,4,281,183,13,18,67,76.48,15,199123301,18
2023-04-01,01:14:00,5,280,179,15,18,68,76.80,15,199123301,18
2023-04-01,01:29:00,5,243,156,13,8,66,76.70,15,199123301,18
2023-04-01,01:44:00,5,203,129,4,13,57,77.13,15,199123301,18
2023-04-01,01:59:00,5,199,125,8,12,54,75.89,15,199123301,18
2023-04-01,02:14:00,5,195,111,11,19,54,77.37,15,199123301,18
2023-04-01,02:29:00,5,215,136,9,8,62,76.70,15,199123301,18
2023-04-01,02:44:00,5,203,124,5,14,60,79.62,15,199123301,18
2023-04-01,02:59:00,5,202,125,11,14,52,77.77,15,199123301,18
2023-04-01,03:14:00,5,185,123,8,14,40,75.91,15,199123301,18
2023-04-01,03:29:00,5,203,124,7,14,58,80.03,15,199123301,18
2023-04-01,03:44:00,5,201,135,8,8,50,88.06,15,199123301,18
2023-04-01,03:59:00,5,183,111,16,15,41,88.62,15,199123301,18
2023-04-01,04:14:00,5,179,107,9,11,52,88.33,15,199123301,18
2023-04-01,04:29:00,5,192,125,13,9,45,88.41,15,199123301,18
2023-04-01,04:44:00,5,251,159,19,18,55,88.91,15,199123301,18
2023-04-01,04:59:00,5,244,154,16,10,64,88.73,15,199123301,18
2023-04-01,05:14:00,5,322,206,23,31,62,89.24,15,199123301,18
2023-04-01,05:29:00,5,395,280,28,27,60,89.11,15,199123301,18
2023-04-01,05:44:00,5,483,355,33,23,72,88.24,15,199123301,18
2023-04-01,05:59:00,5,481,337,49,27,68,88.65,15,199123301,18
2023-04-01,06:14:00,5,417,272,32,39,74,88.55,15,199123301,18
2023-04-01,06:29:00,5,460,328,48,23,61,90.31,15,199123301,18
2023-04-01,06:44:00,5,539,353,49,40,97,89.41,15,199123301,18
2023-04-01,06:59:00,5,500,364,51,33,52,91.59,15,199123301,18
2023-04-01,07:14:00,5,701,470,81,59,91,89.81,15,199123301,18
2023-04-01,07:29:00,5,635,462,54,41,78,90.70,15,199123301,18
2023-04-01,07:44:00,5,749,549,72,38,90,89.89,15,199123301,18
2023-04-01,07:59:00,5,718,567,46,40,65,91.19,15,199123301,18
2023-04-01,08:14:00,5,813,626,65,31,91,90.43,15,199123301,18
2023-04-01,08:29:00,5,861,709,47,34,71,89.46,15,199123301,18
2023-04-01,08:44:00,5,920,752,56,18,94,88.58,15,199123301,18
2023-04-01,08:59:00,5,1013,817,62,43,91,88.16,15,199123301,18
2023-04-01,09:14:00,5,1015,856,50,39,70,89.29,15,199123301,18
2023-04-01,09:29:00,5,1088,942,38,37,71,88.07,15,199123301,18
2023-04-01,09:44:00,5,1187,1013,57,35,82,88.59,15,199123301,18
2023-04-01,09:59:00,5,1271,1082,71,40,78,88.39,15,199123301,18
2023-04-01,10:14:00,5,1250,1052,56,42,100,89.26,15,199123301,18
2023-04-01,10:29:00,5,1323,1140,55,27,101,88.14,15,199123301,18
2023-04-01,10:44:00,5,1331,1147,56,46,82,87.67,15,199123301,18
2023-04-01,10:59:00,5,1375,1204,60,33,78,82.49,15,199123301,18
2023-04-01,11:14:00,5,1405,1229,56,36,84,72.14,15,199123301,18
2023-04-01,11:29:00,5,1346,1147,76,43,80,34.80,15,199123301,18
