MIDAS ID, Legacy MIDAS ID, Site Name
FC82E8BAC1E37272E0438DC611AC3F8D,30035130,MIDAS site at M25/5352A priority 1 on link 199066201; GPS Ref: 523646;199959; Clockwise

Local Date, Local Time, Day Type ID, Total Carriageway Flow, Total Flow vehicles less than 5.2m, Total Flow vehicles 5.21m - 6.6m, Total Flow vehicles 6.61m - 11.6m, Total Flow vehicles above 11.6m, Speed Value, Quality Index, Network Link Id, NTIS Model Version
2023-04-01,00:14:00,4,345,186,50,23,86,95.06,15,199066201,18
2023-04-01,00:29:00,4,309,163,51,32,63,96.11,15,199066201,18
2023-04-01,00:44:00,4,269,138,44,26,61,92.92,15,199066201,18
2023-04-01,00:59:00,4,295,151,55,28,61,96.24,15,199066201,18
2023-04-01,01:14:00,5,243,117,43,27,56,92.82,15,199066201,18
2023-04-01,01:29:00,5,242,114,52,22,54,95.00,15,199066201,18
2023-04-01,01:44:00,5,207,102,36,21,48,95.22,15,199066201,18
2023-04-01,01:59:00,5,188,77,44,18,49,94.33,15,199066201,18
2023-04-01,02:14:00,5,200,77,29,30,64,93.77,15,199066201,18
2023-04-01,02:29:00,5,206,82,24,22,78,91.91,15,199066201,18
2023-04-01,02:44:00,5,225,107,38,15,65,91.20,15,199066201,18
2023-04-01,02:59:00,5,242,103,42,23,74,93.89,15,199066201,18
2023-04-01,03:14:00,5,227,87,36,21,83,94.52,15,199066201,18
2023-04-01,03:29:00,5,255,114,45,24,72,94.88,15,199066201,18
2023-04-01,03:44:00,5,248,116,45,16,71,95.02,15,199066201,18
2023-04-01,03:59:00,5,248,101,51,20,76,94.72,15,199066201,18
2023-04-01,04:14:00,5,244,108,42,21,73,92.96,15,199066201,18
2023-04-01,04:29:00,5,288,105,49,35,99,92.77,15,199066201,18
2023-04-01,04:44:00,5,247,91,56,17,83,94.13,15,199066201,18
2023-04-01,04:59:00,5,334,127,60,33,114,84.45,15,199066201,18
2023-04-01,05:14:00,5,362,156,58,21,127,95.90,15,199066201,18
2023-04-01,05:29:00,5,358,139,59,32,128,96.13,15,199066201,18
2023-04-01,05:44:00,5,385,151,71,47,116,90.95,15,199066201,18
2023-04-01,05:59:00,5,391,161,80,38,112,95.61,15,199066201,18
2023-04-01,06:14:00,5,466,191,101,52,122,96.50,15,199066201,18
2023-04-01,06:29:00,5,554,214,123,89,128,97.58,15,199066201,18
2023-04-01,06:44:00,5,609,279,137,87,106,96.77,15,199066201,18
2023-04-01,06:59:00,5,568,260,146,76,86,100.32,15,199066201,18
2023-04-01,07:14:00,5,663,281,165,83,134,97.49,15,199066201,18
2023-04-01,07:29:00,5,675,285,204,83,103,99.71,15,199066201,18
2023-04-01,07:44:00,5,698,330,166,104,98,99.61,15,199066201,18
2023-04-01,07:59:00,5,691,365,169,72,85,100.09,15,199066201,18
2023-04-01,08:14:00,5,750,411,175,69,95,99.82,15,199066201,18
2023-04-01,08:29:00,5,826,454,199,79,94,100.26,15,199066201,18
2023-04-01,08:44:00,5,803,445,202,70,86,99.32,15,199066201,18
2023-04-01,08:59:00,5,841,458,220,103,60,100.17,15,199066201,18
