MIDAS ID, Legacy MIDAS ID, Site Name
FD9D32AEC86645658FC5F074C62EB480,30031602,MIDAS site at M25/5084A priority 1 on link 200127430; GPS Ref: 502165;192155; Clockwise

Local Date, Local Time, Day Type ID, Total Carriageway Flow, Total Flow vehicles less than 5.2m, Total Flow vehicles 5.21m - 6.6m, Total Flow vehicles 6.61m - 11.6m, Total Flow vehicles above 11.6m, Speed Value, Quality Index, Network Link Id, NTIS Model Version
2023-04-01,00:14:00,4,260,146,60,15,39,107.73,15,200127430,18
2023-04-01,00:29:00,4,239,136,50,11,42,107.64,15,200127430,18
2023-04-01,00:44:00,4,210,119,48,13,30,108.27,15,200127430,18
2023-04-01,00:59:00,4,195,115,36,12,32,108.58,15,200127430,18
2023-04-01,01:14:00,5,162,80,40,7,35,106.49,15,200127430,18
2023-04-01,01:29:00,5,184,92,46,10,36,108.71,15,200127430,18
2023-04-01,01:44:00,5,150,65,27,13,45,103.32,15,200127430,18
2023-04-01,01:59:00,5,145,63,32,11,39,106.27,15,200127430,18
2023-04-01,02:14:00,5,134,58,24,12,40,101.61,15,200127430,18
2023-04-01,02:29:00,5,108,50,28,6,24,105.18,15,200127430,18
2023-04-01,02:44:00,5,140,71,28,7,34,105.04,15,200127430,18
2023-04-01,02:59:00,5,152,80,32,12,28,106.81,15,200127430,18
2023-04-01,03:14:00,5,155,81,31,8,35,105.98,15,200127430,18
2023-04-01,03:29:00,5,170,87,36,11,36,105.19,15,200127430,18
2023-04-01,03:44:00,5,178,91,44,3,40,105.80,15,200127430,18
2023-04-01,03:59:00,5,176,95,29,9,43,106.54,15,200127430,18
2023-04-01,04:14:00,5,207,98,57,9,43,106.32,15,200127430,18
2023-04-01,04:29:00,5,197,101,48,14,34,107.36,15,200127430,18
2023-04-01,04:44:00,5,219,117,50,9,43,107.88,15,200127430,18
2023-04-01,04:59:00,5,209,103,46,15,45,106.67,15,200127430,18
2023-04-01,05:14:00,5,247,114,64,14,55,105.66,15,200127430,18
2023-04-01,05:29:00,5,298,165,71,11,51,108.16,15,200127430,18
2023-04-01,05:44:00,5,320,186,64,20,50,108.20,15,200127430,18
2023-04-01,05:59:00,5,306,183,65,16,42,108.85,15,200127430,18
2023-04-01,06:14:00,5,420,223,118,35,44,109.63,15,200127430,18
2023-04-01,06:29:00,5,561,308,167,40,46,111.60,15,200127430,18
2023-04-01,06:44:00,5,629,348,192,43,46,110.91,15,200127430,18
2023-04-01,06:59:00,5,579,304,163,55,57,111.48,15,200127430,18
2023-04-01,07:14:00,5,560,319,147,49,45,99.64,15,200127430,18
2023-04-01,07:29:00,5,822,476,228,63,55,103.81,15,200127430,18
2023-04-01,07:44:00,5,810,492,213,61,44,109.90,15,200127430,18
2023-04-01,07:59:00,5,830,543,199,56,32,110.29,15,200127430,18
2023-04-01,08:14:00,5,845,547,202,58,38,110.74,15,200127430,18
2023-04-01,08:29:00,5,879,579,214,50,36,110.05,15,200127430,18
2023-04-01,08:44:00,5,908,624,209,40,35,111.38,15,200127430,18
2023-04-01,08:59:00,5,987,679,218,41,49,109.78,15,200127430,18
2023-04-01,09:14:00,5,1109,780,224,49,56,108.04,15,200127430,18
2023-04-01,09:29:00,5,1210,851,261,47,51,108.83,15,200127430,18
2023-04-01,09:44:00,5,1294,898,290,51,55,106.76,15,200127430,18
2023-04-01,09:59:00,5,1319,959,255,50,55,106.47,15,200127430,18
2023-04-01,10:14:00,5,1395,1018,283,49,45,104.93,15,200127430,18
2023-04-01,10:29:00,5,1461,1061,293,53,54,103.67,15,200127430,18
2023-04-01,10:44:00,5,1412,997,312,56,47,104.86,15,200127430,18
2023-04-01,10:59:00,5,1445,1053,303,48,41,104.78,15,200127430,18
2023-04-01,11:14:00,5,1406,1046,264,50,46,103.84,15,200127430,18
2023-04-01,11:29:00,5,1480,1054,318,56,52,103.82,15,200127430,18
2023-04-01,11:44:00,5,1538,1116,321,61,40,103.19,15,200127430,18
2023-04-01,11:59:00,5,1557,1097,348,71,41,102.63,15,200127430,18
2023-04-01,12:14:00,5,1314,980,254,50,30,78.32,15,200127430,18
2023-04-01,12:29:00,5,1051,731,230,46,44,32.16,15,200127430,18
