MIDAS ID, Legacy MIDAS ID, Site Name
FC82E8BAC1AD7272E0438DC611AC3F8D,30035076,MIDAS site at M25/4409A priority 1 on link 199121802; GPS Ref: 535896;152788; Clockwise

Local Date, Local Time, Day Type ID, Total Carriageway Flow, Total Flow vehicles less than 5.2m, Total Flow vehicles 5.21m - 6.6m, Total Flow vehicles 6.61m - 11.6m, Total Flow vehicles above 11.6m, Speed Value, Quality Index, Network Link Id, NTIS Model Version
2023-04-01,00:14:00,4,130,104,8,5,13,85.16,15,199121802,18
2023-04-01,00:29:00,4,100,78,11,2,9,92.28,15,199121802,18
2023-04-01,00:44:00,4,105,73,6,8,18,87.18,15,199121802,18
2023-04-01,00:59:00,4,107,71,4,8,24,88.37,15,199121802,18
2023-04-01,01:14:00,5,94,55,3,7,29,85.12,15,199121802,18
2023-04-01,01:29:00,5,84,58,4,4,18,87.36,15,199121802,18
2023-04-01,01:44:00,5,82,47,4,5,26,88.65,15,199121802,18
2023-04-01,01:59:00,5,55,31,6,5,13,89.01,15,199121802,18
2023-04-01,02:14:00,5,83,47,3,9,24,87.95,15,199121802,18
2023-04-01,02:29:00,5,61,43,6,2,10,86.33,15,199121802,18
2023-04-01,02:44:00,5,79,47,3,1,28,87.83,15,199121802,18
2023-04-01,02:59:00,5,74,46,4,4,20,85.28,15,199121802,18
2023-04-01,03:14:00,5,101,78,3,6,14,89.17,15,199121802,18
2023-04-01,03:29:00,5,126,74,8,8,36,85.12,15,199121802,18
2023-04-01,03:44:00,5,133,102,4,4,23,92.53,15,199121802,18
2023-04-01,03:59:00,5,144,105,4,6,29,102.06,15,199121802,18
2023-04-01,04:14:00,5,160,110,8,6,36,99.42,15,199121802,18
2023-04-01,04:29:00,5,187,136,12,6,33,101.02,15,199121802,18
2023-04-01,04:44:00,5,172,116,10,11,35,99.87,15,199121802,18
2023-04-01,04:59:00,5,226,160,19,10,37,100.71,15,199121802,18
2023-04-01,05:14:00,5,247,166,15,17,49,100.37,15,199121802,18
2023-04-01,05:29:00,5,265,204,14,17,30,102.60,15,199121802,18
2023-04-01,05:44:00,5,297,223,29,14,31,102.06,15,199121802,18
2023-04-01,05:59:00,5,378,266,32,36,44,101.16,15,199121802,18
2023-04-01,06:14:00,5,416,336,27,21,32,103.77,15,199121802,18
2023-04-01,06:29:00,5,476,375,41,24,36,104.16,15,199121802,18
2023-04-01,06:44:00,5,533,423,43,39,28,105.31,15,199121802,18
2023-04-01,06:59:00,5,444,340,40,40,24,106.70,15,199121802,18
2023-04-01,07:14:00,5,696,541,62,49,44,106.29,15,199121802,18
2023-04-01,07:29:00,5,620,489,49,49,33,107.40,15,199121802,18
2023-04-01,07:44:00,5,637,526,45,33,33,106.75,15,199121802,18
2023-04-01,07:59:00,5,610,496,45,37,32,106.82,15,199121802,18
2023-04-01,08:14:00,5,627,537,39,18,33,107.74,15,199121802,18
2023-04-01,08:29:00,5,686,554,52,41,39,106.70,15,199121802,18
