MIDAS ID, Legacy MIDAS ID, Site Name
4EE0DBBDEDA7432F97CBD7F888BA4029,30027337,MIDAS site at M25/4923B priority 1 on link 200045780; GPS Ref: 503862;175722; Anti-clockwise

Local Date, Local Time, Day Type ID, Total Carriageway Flow, Total Flow vehicles less than 5.2m, Total Flow vehicles 5.21m - 6.6m, Total Flow vehicles 6.61m - 11.6m, Total Flow vehicles above 11.6m, Speed Value, Quality Index, Network Link Id, NTIS Model Version
2023-04-01,00:14:00,4,331,259,36,11,25,102.32,15,200045780,18
2023-04-01,00:29:00,4,283,220,27,9,27,102.94,15,200045780,18
2023-04-01,00:44:00,4,243,182,28,11,22,104.38,15,200045780,18
2023-04-01,00:59:00,4,208,158,24,7,19,104.89,15,200045780,18
2023-04-01,01:14:00,5,195,145,20,6,24,103.25,15,200045780,18
2023-04-01,01:29:00,5,183,141,17,7,18,103.92,15,200045780,18
2023-04-01,01:44:00,5,159,104,17,9,29,102.17,15,200045780,18
2023-04-01,01:59:00,5,149,90,23,15,21,103.03,15,200045780,18
2023-04-01,02:14:00,5,150,90,5,14,41,98.79,15,200045780,18
2023-04-01,02:29:00,5,152,94,14,10,34,101.38,15,200045780,18
2023-04-01,02:44:00,5,165,98,22,15,30,99.72,15,200045780,18
2023-04-01,02:59:00,5,142,86,16,12,28,102.57,15,200045780,18
2023-04-01,03:14:00,5,151,102,13,14,22,107.64,15,200045780,18
2023-04-01,03:29:00,5,141,79,19,14,29,104.99,15,200045780,18
2023-04-01,03:44:00,5,166,91,18,11,46,103.79,15,200045780,18
2023-04-01,03:59:00,5,156,86,26,12,32,104.05,15,200045780,18
2023-04-01,04:14:00,5,185,101,20,14,50,103.87,15,200045780,18
2023-04-01,04:29:00,5,210,119,31,19,41,104.27,15,200045780,18
2023-04-01,04:44:00,5,229,141,25,23,40,104.62,15,200045780,18
2023-04-01,04:59:00,5,207,107,26,22,52,103.13,15,200045780,18
2023-04-01,05:14:00,5,267,149,33,29,56,104.68,15,200045780,18
2023-04-01,05:29:00,5,302,171,31,26,74,102.78,15,200045780,18
2023-04-01,05:44:00,5,356,224,41,34,57,105.26,15,200045780,18
2023-04-01,05:59:00,5,341,218,45,25,53,105.76,15,200045780,18
2023-04-01,06:14:00,5,475,298,79,43,55,106.80,15,200045780,18
2023-04-01,06:29:00,5,605,399,109,46,51,107.03,15,200045780,18
2023-04-01,06:44:00,5,771,520,137,64,50,108.42,15,200045780,18
2023-04-01,06:59:00,5,792,542,142,65,43,108.67,15,200045780,18
2023-04-01,07:14:00,5,857,605,137,77,38,107.68,15,200045780,18
2023-04-01,07:29:00,5,893,599,178,78,38,108.98,15,200045780,18
2023-04-01,07:44:00,5,941,659,167,82,33,108.04,15,200045780,18
2023-04-01,07:59:00,5,897,660,127,70,40,108.65,15,200045780,18
2023-04-01,08:14:00,5,970,726,146,65,33,109.48,15,200045780,18
2023-04-01,08:29:00,5,1013,767,147,56,43,107.97,15,200045780,18
2023-04-01,08:44:00,5,1163,922,143,67,31,108.03,15,200045780,18
2023-04-01,08:59:00,5,1188,993,113,48,34,106.16,15,200045780,18
2023-04-01,09:14:00,5,1161,956,111,61,33,107.29,15,200045780,18
2023-04-01,09:29:00,5,1341,1062,172,66,41,105.86,15,200045780,18
2023-04-01,09:44:00,5,1455,1205,159,51,40,104.31,15,200045780,18
2023-04-01,09:59:00,5,1584,1319,155,56,54,102.05,15,200045780,18
2023-04-01,10:14:00,5,1561,1336,144,48,33,102.68,15,200045780,18
2023-04-01,10:29:00,5,1677,1437,170,45,25,101.97,15,200045780,18
2023-04-01,10:44:00,5,1668,1404,171,50,43,100.18,15,200045780,18
2023-04-01,10:59:00,5,1684,1442,159,62,21,101.82,15,200045780,18
2023-04-01,11:14:00,5,1604,1356,159,49,40,103.00,15,200045780,18
2023-04-01,11:29:00,5,1626,1389,157,49,31,102.45,15,200045780,18
2023-04-01,11:44:00,5,1547,1337,134,38,38,103.93,15,200045780,18
2023-04-01,11:59:00,5,1498,1265,149,47,37,105.21,15,200045780,18
2023-04-01,12:14:00,5,1505,1287,140,51,27,105.16,15,200045780,18
2023-04-01,12:29:00,5,1512,1287,134,57,34,104.15,15,200045780,18
2023-04-01,12:44:00,5,1493,1254,176,32,31,104.61,15,200045780,18
2023-04-01,12:59:00,5,1289,1083,136,46,24,107.49,15,200045780,18
2023-04-01,13:14:00,5,1401,1200,138,47,16,108.98,15,200045780,18
2023-04-01,13:29:00,5,1583,1341,159,42,41,104.01,15,200045780,18
2023-04-01,13:44:00,5,1514,1305,146,36,27,104.32,15,200045780,18
2023-04-01,13:59:00,5,1454,1216,167,45,26,105.76,15,200045780,18
2023-04-01,14:14:00,5,1447,1241,145,35,26,105.64,15,200045780,18
2023-04-01,14:29:00,5,1526,1325,139,32,30,105.11,15,200045780,18
2023-04-01,14:44:00,5,1400,1181,139,46,34,106.16,15,200045780,18
2023-04-01,14:59:00,5,1303,1125,119,34,25,106.91,15,200045780,18
2023-04-01,15:14:00,5,1346,1150,149,24,23,107.05,15,200045780,18
2023-04-01,15:29:00,5,1305,1109,132,40,24,107.61,15,200045780,18
2023-04-01,15:44:00,5,1374,1194,126,25,29,107.25,15,200045780,18
2023-04-01,15:59:00,5,1419,1222,136,34,27,107.44,15,200045780,18
2023-04-01,16:14:00,5,1358,1182,136,26,14,107.62,15,200045780,18
2023-04-01,16:29:00,5,1528,1336,131,41,20,105.45,15,200045780,18
2023-04-01,16:44:00,5,1464,1258,135,46,25,105.70,15,200045780,18
2023-04-01,16:59:00,5,1500,1280,149,40,31,105.40,15,200045780,18
2023-04-01,17:14:00,5,1471,1248,154,41,28,105.95,15,200045780,18
2023-04-01,17:29:00,5,1478,1295,121,42,20,105.53,15,200045780,18
2023-04-01,17:44:00,5,1536,1316,161,35,24,105.39,15,200045780,18
2023-04-01,17:59:00,5,1532,1356,129,29,18,106.14,15,200045780,18
2023-04-01,18:14:00,5,1448,1222,162,32,32,106.04,15,200045780,18
2023-04-01,18:29:00,5,1340,1164,118,29,29,108.00,15,200045780,18
2023-04-01,18:44:00,5,1212,1051,105,20,36,108.85,15,200045780,18
2023-04-01,18:59:00,5,1216,1073,107,18,18,110.17,15,200045780,18
2023-04-01,19:14:00,5,1211,1055,107,27,22,108.56,15,200045780,18
2023-04-01,19:29:00,5,1057,911,95,25,26,108.71,15,200045780,18
2023-04-01,19:44:00,5,1107,965,104,20,18,108.58,15,200045780,18
2023-04-01,19:59:00,5,865,750,71,21,23,108.58,15,200045780,18
2023-04-01,20:14:00,5,835,721,66,21,27,107.94,15,200045780,18
2023-04-01,20:29:00,5,785,684,69,13,19,108.37,15,200045780,18
2023-04-01,20:44:00,5,803,668,81,29,25,108.89,15,200045780,18
2023-04-01,20:59:00,5,680,574,65,19,22,108.59,15,200045780,18
2023-04-01,21:14:00,5,664,573,46,29,16,107.94,15,200045780,18
2023-04-01,21:29:00,5,620,529,58,13,20,108.39,15,200045780,18
2023-04-01,21:44:00,5,577,503,46,12,16,108.93,15,200045780,18
2023-04-01,21:59:00,5,578,500,59,6,13,111.46,15,200045780,18
2023-04-01,22:14:00,5,584,505,41,20,18,108.52,15,200045780,18
2023-04-01,22:29:00,5,575,524,30,8,13,110.05,15,200045780,18
2023-04-01,22:44:00,5,528,462,40,11,15,108.99,15,200045780,18
2023-04-01,22:59:00,5,498,442,34,11,11,109.75,15,200045780,18
2023-04-01,23:14:00,5,493,422,43,14,14,109.32,15,200045780,18
2023-04-01,23:29:00,5,440,384,35,11,10,108.00,15,200045780,18
2023-04-01,23:44:00,5,447,386,42,5,14,109.43,15,200045780,18
2023-04-01,23:59:00,5,356,319,20,7,10,110.57,15,200045780,18
2023-04-02,00:14:00,5,340,291,24,8,17,110.21,15,200045780,18
2023-04-02,00:29:00,5,316,260,31,13,12,111.04,15,200045780,18
2023-04-02,00:44:00,5,286,237,25,13,11,109.18,15,200045780,18
2023-04-02,00:59:00,5,216,177,17,10,12,98.37,15,200045780,18
2023-04-02,01:14:00,6,202,170,9,7,16,106.53,15,200045780,18
2023-04-02,01:29:00,6,198,161,13,7,17,89.01,15,200045780,18
2023-04-02,01:44:00,6,151,121,16,7,7,104.65,15,200045780,18
2023-04-02,01:59:00,6,141,116,10,5,10,96.58,15,200045780,18
2023-04-02,02:14:00,6,156,126,12,2,16,110.50,15,200045780,18
2023-04-02,02:29:00,6,131,99,11,4,17,106.70,15,200045780,18
2023-04-02,02:44:00,6,152,113,22,8,9,110.88,15,200045780,18
2023-04-02,02:59:00,6,149,110,17,5,17,106.80,15,200045780,18
2023-04-02,03:14:00,6,132,105,11,4,12,108.79,15,200045780,18
2023-04-02,03:29:00,6,142,111,17,3,11,108.04,15,200045780,18
2023-04-02,03:44:00,6,142,104,21,6,11,108.54,15,200045780,18
2023-04-02,03:59:00,6,133,95,15,9,14,110.61,15,200045780,18
2023-04-02,04:14:00,6,132,96,12,10,14,106.40,15,200045780,18
2023-04-02,04:29:00,6,119,82,18,8,11,107.23,15,200045780,18
2023-04-02,04:44:00,6,153,114,22,4,13,109.83,15,200045780,18
2023-04-02,04:59:00,6,184,143,22,6,13,110.53,15,200045780,18
2023-04-02,05:14:00,6,201,137,26,15,23,107.36,15,200045780,18
2023-04-02,05:29:00,6,225,173,29,11,12,110.43,15,200045780,18
2023-04-02,05:44:00,6,291,220,35,15,21,109.76,15,200045780,18
2023-04-02,05:59:00,6,254,190,31,12,21,109.73,15,200045780,18
2023-04-02,06:14:00,6,290,215,48,12,15,109.40,15,200045780,18
2023-04-02,06:29:00,6,384,271,67,22,24,108.78,15,200045780,18
2023-04-02,06:44:00,6,417,324,50,24,19,110.72,15,200045780,18
2023-04-02,06:59:00,6,454,361,64,16,13,112.40,15,200045780,18
2023-04-02,07:14:00,6,510,417,56,20,17,112.80,15,200045780,18
2023-04-02,07:29:00,6,508,404,64,16,24,111.57,15,200045780,18
2023-04-02,07:44:00,6,591,481,75,19,16,112.26,15,200045780,18
2023-04-02,07:59:00,6,586,481,55,25,25,111.04,15,200045780,18
2023-04-02,08:14:00,6,638,504,89,27,18,111.16,15,200045780,18
2023-04-02,08:29:00,6,684,559,77,31,17,111.62,15,200045780,18
2023-04-02,08:44:00,6,803,685,85,21,12,112.01,15,200045780,18
2023-04-02,08:59:00,6,948,778,116,23,31,110.08,15,200045780,18
2023-04-02,09:14:00,6,939,799,99,19,22,110.78,15,200045780,18
2023-04-02,09:29:00,6,1081,923,108,22,28,110.13,15,200045780,18
2023-04-02,09:44:00,6,1213,1066,94,32,21,109.02,15,200045780,18
2023-04-02,09:59:00,6,1360,1210,113,24,13,108.41,15,200045780,18
