MIDAS ID, Legacy MIDAS ID, Site Name
9D2752F4C02C4B99BAB1B6AD62CC3418,30032852,MIDAS site at M25/5733A priority 1 on link 199056401; GPS Ref: 557188;191571; Clockwise

Local Date, Local Time, Day Type ID, Total Carriageway Flow, Total Flow vehicles less than 5.2m, Total Flow vehicles 5.21m - 6.6m, Total Flow vehicles 6.61m - 11.6m, Total Flow vehicles above 11.6m, Speed Value, Quality Index, Network Link Id, NTIS Model Version
2023-04-01,00:14:00,4,378,282,13,11,72,96.42,15,199056401,18
2023-04-01,00:29:00,4,365,250,15,12,88,93.64,15,199056401,18
2023-04-01,00:44:00,4,318,203,11,13,92,94.03,14,199056401,18
2023-04-01,00:59:00,4,247,171,12,5,59,95.73,15,199056401,18
2023-04-01,01:14:00,5,227,134,13,8,72,93.91,15,199056401,18
2023-04-01,01:29:00,5,232,149,6,14,63,94.34,13,199056401,18
2023-04-01,01:44:00,5,243,148,9,11,75,94.98,15,199056401,18
2023-04-01,01:59:00,5,214,130,11,5,69,94.62,14,199056401,18
2023-04-01,02:14:00,5,201,121,14,8,58,94.56,15,199056401,18
2023-04-01,02:28:00,5,183,96,13,12,63,94.80,13,199056401,18
2023-04-01,02:44:00,5,213,130,10,9,65,97.33,14,199056401,18
2023-04-01,02:59:00,5,189,107,6,8,68,95.55,13,199056401,18
2023-04-01,03:14:00,5,204,112,5,8,79,95.27,15,199056401,18
2023-04-01,03:29:00,5,206,109,12,14,71,95.07,15,199056401,18
2023-04-01,03:44:00,5,211,118,13,8,72,97.28,15,199056401,18
2023-04-01,03:59:00,5,205,106,6,10,83,95.39,15,199056401,18
2023-04-01,04:14:00,5,227,106,16,16,89,95.87,15,199056401,18
2023-04-01,04:29:00,5,243,148,10,13,73,95.55,14,199056401,18
2023-04-01,04:44:00,5,260,129,12,17,102,94.13,15,199056401,18
2023-04-01,04:59:00,5,252,142,11,13,86,96.68,15,199056401,18
2023-04-01,05:14:00,5,264,140,23,10,91,92.84,15,199056401,18
2023-04-01,05:29:00,5,341,174,16,24,128,95.23,14,199056401,18
2023-04-01,05:44:00,5,353,193,15,9,136,95.17,14,199056401,18
2023-04-01,05:59:00,5,392,221,19,20,132,95.03,15,199056401,18
2023-04-01,06:14:00,5,400,237,27,13,123,96.24,15,199056401,18
2023-04-01,06:18:00,5,365,210,15,10,130,94.09,3,199056401,18
2023-04-01,06:44:59,5,,,,,,,0,199056401,18
2023-04-01,06:59:59,5,,,,,,,0,199056401,18
2023-04-01,07:14:59,5,,,,,,,0,199056401,18
2023-04-01,07:29:00,5,613,451,36,22,104,99.76,13,199056401,18
2023-04-01,07:44:00,5,654,456,44,22,132,99.24,15,199056401,18
2023-04-01,07:59:00,5,627,477,43,12,95,101.87,15,199056401,18
2023-04-01,08:14:00,5,672,532,26,15,99,99.80,15,199056401,18
2023-04-01,08:28:00,5,763,606,44,20,92,98.44,14,199056401,18
2023-04-01,08:44:00,5,725,555,45,15,110,96.22,3,199056401,18
2023-04-01,08:59:00,5,728,583,29,16,100,98.71,15,199056401,18
2023-04-01,09:14:00,5,940,759,54,10,117,97.38,15,199056401,18
2023-04-01,09:29:00,5,957,810,34,15,98,99.07,15,199056401,18
2023-04-01,09:44:00,5,1009,868,21,13,107,97.63,15,199056401,18
2023-04-01,09:59:00,5,1021,895,29,16,81,98.48,15,199056401,18
2023-04-01,10:14:00,5,1182,1018,32,16,116,96.41,15,199056401,18
2023-04-01,10:29:00,5,1287,1146,38,15,88,97.44,15,199056401,18
2023-04-01,10:44:00,5,1263,1104,38,34,87,95.52,15,199056401,18
2023-04-01,10:59:00,5,1424,1283,37,26,78,93.99,15,199056401,18
2023-04-01,11:14:00,5,1459,1274,37,24,124,94.19,15,199056401,18
2023-04-01,11:29:00,5,1496,1339,43,25,89,92.98,15,199056401,18
2023-04-01,11:44:00,5,1518,1341,36,27,114,93.48,15,199056401,18
2023-04-01,11:59:00,5,1468,1311,39,28,90,93.60,15,199056401,18
2023-04-01,12:14:00,5,1314,1156,37,34,87,96.16,15,199056401,18
2023-04-01,12:29:00,5,1527,1374,40,26,87,93.14,15,199056401,18
2023-04-01,12:44:00,5,1411,1262,38,16,95,93.43,15,199056401,18
2023-04-01,12:59:00,5,1519,1320,56,33,110,90.62,15,199056401,18
2023-04-01,13:14:00,5,1276,1127,38,27,84,92.42,15,199056401,18
2023-04-01,13:29:00,5,1215,1060,40,24,91,96.31,15,199056401,18
2023-04-01,13:44:00,5,1283,1133,32,26,92,97.83,15,199056401,18
2023-04-01,13:59:00,5,1222,1057,31,28,106,96.36,15,199056401,18
2023-04-01,14:14:00,5,1238,1094,32,24,88,97.99,15,199056401,18
2023-04-01,14:29:00,5,1141,994,47,27,73,98.61,15,199056401,18
2023-04-01,14:44:00,5,1098,971,21,26,80,99.08,15,199056401,18
2023-04-01,14:59:00,5,1077,958,32,19,68,100.27,15,199056401,18
2023-04-01,15:14:00,5,1106,994,24,22,66,99.02,15,199056401,18
2023-04-01,15:29:00,5,1113,992,32,19,70,99.17,15,199056401,18
2023-04-01,15:44:00,5,1060,935,27,17,81,100.36,15,199056401,18
2023-04-01,15:59:00,5,1050,938,39,16,57,98.90,15,199056401,18
2023-04-01,16:14:00,5,1175,1038,33,23,81,99.22,15,199056401,18
2023-04-01,16:29:00,5,1110,993,24,21,72,99.19,15,199056401,18
2023-04-01,16:44:00,5,1145,1021,42,8,74,99.94,15,199056401,18
2023-04-01,16:59:00,5,1152,1020,32,15,85,99.29,15,199056401,18
2023-04-01,17:14:00,5,1112,983,33,15,81,99.17,15,199056401,18
2023-04-01,17:29:00,5,1077,975,19,12,71,99.55,15,199056401,18
2023-04-01,17:44:00,5,1026,924,17,14,71,99.78,15,199056401,18
2023-04-01,17:59:00,5,1022,935,22,11,54,102.09,15,199056401,18
2023-04-01,18:14:00,5,1015,908,20,18,69,100.73,15,199056401,18
2023-04-01,18:29:00,5,993,891,18,18,66,98.11,15,199056401,18
2023-04-01,18:44:00,5,906,817,20,15,54,99.92,15,199056401,18
2023-04-01,18:59:00,5,835,752,23,9,51,99.76,15,199056401,18
2023-04-01,19:14:00,5,705,633,17,7,48,103.03,15,199056401,18
2023-04-01,19:29:00,5,730,656,13,9,52,101.27,15,199056401,18
2023-04-01,19:44:00,5,677,606,16,8,47,100.90,15,199056401,18
2023-04-01,19:59:00,5,599,527,9,13,50,101.20,15,199056401,18
2023-04-01,20:14:00,5,546,489,11,5,42,101.31,14,199056401,18
